SAMPID	SMTS	SMTSD
GTEX-1RAZQ-1626-SM-E9U6C	Esophagus	Esophagus - Muscularis
GTEX-1RAZQ-1726-SM-EAZ4T	Esophagus	Esophagus - Mucosa
GTEX-1RAZQ-1826-SM-E76P9	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-1RAZQ-2026-SM-E76P7	Colon	Colon - Sigmoid
GTEX-1RAZQ-2126-SM-DTX9V	Colon	Colon - Transverse
GTEX-1RAZQ-2226-SM-DPRZR	Small Intestine	Small Intestine - Terminal Ileum
GTEX-1RAZR-0001-SM-HM8TO	Blood	Cells - EBV-transformed lymphocytes
GTEX-1RAZR-0006-SM-DLHBR	Blood	Whole Blood
GTEX-1RAZR-0126-SM-G8OKK	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1RAZR-0226-SM-EVYC6	Adipose Tissue	Adipose - Subcutaneous
GTEX-1RAZR-0326-SM-EWRNM	Muscle	Muscle - Skeletal
GTEX-1RAZR-0426-SM-EVYC7	Nerve	Nerve - Tibial
GTEX-1RAZR-0526-SM-G8OLF	Blood Vessel	Artery - Tibial
GTEX-1RAZR-0626-SM-E6CJO	Blood Vessel	Artery - Aorta
GTEX-1RAZR-0726-SM-EV7BA	Lung	Lung
GTEX-1RAZR-1026-SM-E76TB	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1RAZR-1126-SM-E6CRC	Thyroid	Thyroid
GTEX-1RAZR-1226-SM-E6CRD	Esophagus	Esophagus - Mucosa
GTEX-1RAZR-1326-SM-F33ZF	Esophagus	Esophagus - Muscularis
GTEX-1RAZR-1426-SM-EVR4M	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-1RAZR-1526-SM-EAZ4U	Stomach	Stomach
GTEX-1RAZR-1626-SM-EAZ4V	Spleen	Spleen
GTEX-1RAZR-1826-SM-E6CRE	Small Intestine	Small Intestine - Terminal Ileum
GTEX-1RAZR-1926-SM-E6CRF	Colon	Colon - Transverse
GTEX-1RAZR-2026-SM-E9TKE	Colon	Colon - Sigmoid
GTEX-1RAZR-2126-SM-E9U6T	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1RAZR-2226-SM-E6CRG	Testis	Testis
GTEX-1RAZR-2326-SM-F2T9L	Prostate	Prostate
GTEX-1RAZS-0005-SM-DO93D	Blood	Whole Blood
GTEX-1RAZS-0011-R10a-SM-F649Y	Brain	Brain - Frontal Cortex (BA9)
GTEX-1RAZS-0011-R5b-SM-F341U	Brain	Brain - Caudate (basal ganglia)
GTEX-1RAZS-0011-R8a-SM-F2TBI	Brain	Brain - Hypothalamus
GTEX-1RAZS-0011-R9b-SM-G8OMS	Brain	Brain - Spinal cord (cervical c-1)
GTEX-1RAZS-0126-SM-G8LMW	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1RAZS-0326-SM-G8LLA	Muscle	Muscle - Skeletal
GTEX-1RAZS-0426-SM-E9J4C	Nerve	Nerve - Tibial
GTEX-1RAZS-0526-SM-E9J4D	Blood Vessel	Artery - Tibial
GTEX-1RAZS-0826-SM-E76QP	Heart	Heart - Left Ventricle
GTEX-1RAZS-1026-SM-E9TID	Thyroid	Thyroid
GTEX-1RAZS-1226-SM-E8VMT	Breast	Breast - Mammary Tissue
GTEX-1RAZS-1926-SM-F2I27	Testis	Testis
GTEX-1RAZS-2226-SM-E8VMU	Lung	Lung
GTEX-1RAZS-2526-SM-E6CHT	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1RAZS-2626-SM-EV79C	Esophagus	Esophagus - Mucosa
GTEX-1RAZS-2926-SM-EVR4T	Pituitary	Pituitary
GTEX-1RB15-0002-SM-HM8U9	Blood	Cells - EBV-transformed lymphocytes
GTEX-1RB15-0005-SM-CL53N	Blood	Whole Blood
GTEX-1RB15-0126-SM-G9ERT	Spleen	Spleen
GTEX-1RB15-0326-SM-E6CQB	Heart	Heart - Left Ventricle
GTEX-1RB15-0426-SM-E9U4Y	Heart	Heart - Atrial Appendage
GTEX-1RB15-0826-SM-E9U4Z	Esophagus	Esophagus - Muscularis
GTEX-1RB15-1026-SM-E9U6V	Stomach	Stomach
GTEX-1RB15-1326-SM-E76Q9	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1RB15-1726-SM-G9EPR	Breast	Breast - Mammary Tissue
GTEX-1RB15-1926-SM-EV79J	Testis	Testis
GTEX-1RB15-2126-SM-E9TIM	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1RB15-2226-SM-DTXFZ	Muscle	Muscle - Skeletal
GTEX-1RB15-2426-SM-E8VMY	Blood Vessel	Artery - Tibial
GTEX-1RDX4-0005-SM-DLHBS	Blood	Whole Blood
GTEX-1RDX4-0011-R10a-SM-F2TB1	Brain	Brain - Frontal Cortex (BA9)
GTEX-1RDX4-0011-R11b-SM-F2I1H	Brain	Brain - Cerebellar Hemisphere
GTEX-1RDX4-0011-R1a-SM-F3K5H	Brain	Brain - Hippocampus
GTEX-1RDX4-0011-R2b-SM-F649Z	Brain	Brain - Substantia nigra
GTEX-1RDX4-0011-R3a-SM-F3K44	Brain	Brain - Anterior cingulate cortex (BA24)
GTEX-1RDX4-0011-R4b-SM-F3K43	Brain	Brain - Amygdala
GTEX-1RDX4-0011-R5a-SM-F33ZH	Brain	Brain - Caudate (basal ganglia)
GTEX-1RDX4-0011-R6b-SM-F3K5L	Brain	Brain - Nucleus accumbens (basal ganglia)
GTEX-1RDX4-0011-R7b-SM-F2TBJ	Brain	Brain - Putamen (basal ganglia)
GTEX-1RDX4-0011-R8a-SM-G8LLT	Brain	Brain - Hypothalamus
GTEX-1RDX4-0011-R9b-SM-G8LMG	Brain	Brain - Spinal cord (cervical c-1)
GTEX-1RDX4-0126-SM-E9J4P	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1RDX4-0226-SM-DTXG1	Adipose Tissue	Adipose - Subcutaneous
GTEX-1RDX4-0326-SM-G8LKI	Muscle	Muscle - Skeletal
GTEX-1RDX4-0526-SM-EAZ44	Blood Vessel	Artery - Tibial
GTEX-1RDX4-0726-SM-E8VO8	Uterus	Uterus
GTEX-1RDX4-0826-SM-E9TK7	Ovary	Ovary
GTEX-1RDX4-0926-SM-E9U6D	Thyroid	Thyroid
GTEX-1RDX4-1126-SM-E9U6E	Blood Vessel	Artery - Coronary
GTEX-1RDX4-1626-SM-EVR53	Lung	Lung
GTEX-1RDX4-1826-SM-EVR54	Colon	Colon - Transverse
GTEX-1RDX4-1926-SM-E6CJJ	Colon	Colon - Sigmoid
GTEX-1RDX4-2126-SM-EV7B3	Esophagus	Esophagus - Mucosa
GTEX-1RDX4-2326-SM-G8OM3	Breast	Breast - Mammary Tissue
GTEX-1RDX4-3226-SM-DPS14	Brain	Brain - Cerebellum
GTEX-1RLM8-0005-SM-DO121	Blood	Whole Blood
GTEX-1RLM8-0011-R10a-SM-F3414	Brain	Brain - Frontal Cortex (BA9)
GTEX-1RLM8-0011-R11a-SM-F2I2F	Brain	Brain - Cerebellar Hemisphere
GTEX-1RLM8-0011-R2a-SM-EZ6N4	Brain	Brain - Substantia nigra
GTEX-1RLM8-0011-R3b-SM-F342E	Brain	Brain - Anterior cingulate cortex (BA24)
GTEX-1RLM8-0011-R4a-SM-F2TBL	Brain	Brain - Amygdala
GTEX-1RLM8-0011-R5a-SM-F3K4P	Brain	Brain - Caudate (basal ganglia)
GTEX-1RLM8-0011-R8a-SM-EYYXR	Brain	Brain - Hypothalamus
GTEX-1RLM8-0226-SM-E6CJY	Heart	Heart - Atrial Appendage
GTEX-1RLM8-0326-SM-G9EPV	Heart	Heart - Left Ventricle
GTEX-1RLM8-0426-SM-G8OL5	Blood Vessel	Artery - Coronary
GTEX-1RLM8-0526-SM-E76TC	Blood Vessel	Artery - Aorta
GTEX-1RLM8-0626-SM-E76OW	Lung	Lung
GTEX-1RLM8-0726-SM-E6CRH	Esophagus	Esophagus - Mucosa
GTEX-1RLM8-0926-SM-EWROD	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-1RLM8-1026-SM-EWROE	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1RLM8-1526-SM-G9EQV	Colon	Colon - Transverse
GTEX-1RLM8-1726-SM-E9TKF	Colon	Colon - Sigmoid
GTEX-1RLM8-2226-SM-EVYD1	Breast	Breast - Mammary Tissue
GTEX-1RLM8-2326-SM-EWRN4	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1RLM8-2426-SM-G8LKK	Adipose Tissue	Adipose - Subcutaneous
GTEX-1RLM8-2526-SM-G8LKY	Muscle	Muscle - Skeletal
GTEX-1RLM8-2926-SM-E8VON	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1RLM8-3026-SM-E6CPC	Pituitary	Pituitary
GTEX-1RLM8-3126-SM-G8LLN	Brain	Brain - Cortex
GTEX-1RMOY-0001-SM-HM8TE	Blood	Cells - EBV-transformed lymphocytes
GTEX-1RMOY-0005-SM-DO11X	Blood	Whole Blood
GTEX-1RMOY-0126-SM-EWRNN	Thyroid	Thyroid
GTEX-1RMOY-0226-SM-GQ1EG	Lung	Lung
GTEX-1RMOY-0326-SM-GMXCF	Blood Vessel	Artery - Aorta
GTEX-1RMOY-0426-SM-GPRYD	Heart	Heart - Atrial Appendage
GTEX-1RMOY-0626-SM-E9TIE	Heart	Heart - Left Ventricle
GTEX-1RMOY-0726-SM-EV79D	Spleen	Spleen
GTEX-1RMOY-0826-SM-E9TIF	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1RMOY-0926-SM-E9TIG	Esophagus	Esophagus - Muscularis
GTEX-1RMOY-1126-SM-EV79E	Stomach	Stomach
GTEX-1RMOY-1326-SM-E9TIH	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1RMOY-1626-SM-EVYC8	Colon	Colon - Transverse
GTEX-1RMOY-1726-SM-EVYC9	Colon	Colon - Sigmoid
GTEX-1RMOY-1926-SM-EVYCA	Blood Vessel	Artery - Tibial
GTEX-1RMOY-2126-SM-GMXBU	Nerve	Nerve - Tibial
GTEX-1RMOY-2226-SM-GMXCX	Adipose Tissue	Adipose - Subcutaneous
GTEX-1RNSC-0008-SM-HPAFB	Skin	Cells - Cultured fibroblasts
GTEX-1RNSC-0011-R10a-SM-F3K5U	Brain	Brain - Frontal Cortex (BA9)
GTEX-1RNSC-0011-R1b-SM-F342D	Brain	Brain - Hippocampus
GTEX-1RNSC-0326-SM-G9EPB	Nerve	Nerve - Tibial
GTEX-1RNSC-0526-SM-G8LM6	Muscle	Muscle - Skeletal
GTEX-1RNSC-1126-SM-E9TIP	Thyroid	Thyroid
GTEX-1RNSC-1226-SM-E9U52	Lung	Lung
GTEX-1RNSC-2626-SM-GNIOG	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1RNSC-2926-SM-EV79L	Salivary Gland	Minor Salivary Gland
GTEX-1RNSC-3126-SM-EVR4V	Brain	Brain - Cerebellum
GTEX-1RNTQ-0001-SM-HPAG3	Blood	Cells - EBV-transformed lymphocytes
GTEX-1RNTQ-0006-SM-CYPRG	Blood	Whole Blood
GTEX-1RNTQ-0008-SM-HPAFW	Skin	Cells - Cultured fibroblasts
GTEX-1RNTQ-0126-SM-G8OMG	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1RNTQ-0226-SM-G8OKV	Adipose Tissue	Adipose - Subcutaneous
GTEX-1RNTQ-0326-SM-GMXAQ	Blood Vessel	Artery - Tibial
GTEX-1RNTQ-0526-SM-GPI9Y	Muscle	Muscle - Skeletal
GTEX-1RNTQ-0626-SM-GOR1D	Breast	Breast - Mammary Tissue
GTEX-1RNTQ-0726-SM-E9U6F	Blood Vessel	Artery - Aorta
GTEX-1RNTQ-0826-SM-E9TK8	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1RNTQ-1026-SM-EV7B4	Spleen	Spleen
GTEX-1RNTQ-1126-SM-E9TK9	Esophagus	Esophagus - Muscularis
GTEX-1RNTQ-1226-SM-HM8TY	Esophagus	Esophagus - Mucosa
GTEX-1RNTQ-1526-SM-GPRYO	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1RNTQ-1626-SM-GQ1EI	Colon	Colon - Sigmoid
GTEX-1RNTQ-1726-SM-F2I39	Ovary	Ovary
GTEX-1RNTQ-1826-SM-F2I3A	Stomach	Stomach
GTEX-1RNTQ-1926-SM-F3K5Z	Colon	Colon - Transverse
GTEX-1RQEC-0006-SM-CL542	Blood	Whole Blood
GTEX-1RQEC-0008-SM-HPAF4	Skin	Cells - Cultured fibroblasts
GTEX-1RQEC-0011-R1b-SM-F2I2E	Brain	Brain - Hippocampus
GTEX-1RQEC-0011-R2b-SM-EY5ZT	Brain	Brain - Substantia nigra
GTEX-1RQEC-0011-R3a-SM-G8LKN	Brain	Brain - Anterior cingulate cortex (BA24)
GTEX-1RQEC-0011-R4b-SM-F342C	Brain	Brain - Amygdala
GTEX-1RQEC-0011-R5a-SM-F2TBK	Brain	Brain - Caudate (basal ganglia)
GTEX-1RQEC-0011-R6a-SM-EY5ZR	Brain	Brain - Nucleus accumbens (basal ganglia)
GTEX-1RQEC-0011-R7b-SM-EY5ZS	Brain	Brain - Putamen (basal ganglia)
GTEX-1RQEC-0011-R8b-SM-F648X	Brain	Brain - Hypothalamus
GTEX-1RQEC-0011-R9a-SM-EZ6N3	Brain	Brain - Spinal cord (cervical c-1)
GTEX-1RQEC-0126-SM-E9J2H	Muscle	Muscle - Skeletal
GTEX-1RQEC-0226-SM-E9J3V	Blood Vessel	Artery - Tibial
GTEX-1RQEC-0426-SM-E6CHU	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1RQEC-0526-SM-E6CHV	Adipose Tissue	Adipose - Subcutaneous
GTEX-1RQEC-0626-SM-G8OKP	Blood Vessel	Artery - Aorta
GTEX-1RQEC-0726-SM-GOR1R	Blood Vessel	Artery - Coronary
GTEX-1RQEC-0826-SM-G8OL7	Heart	Heart - Atrial Appendage
GTEX-1RQEC-0926-SM-EWROG	Heart	Heart - Left Ventricle
GTEX-1RQEC-1026-SM-EVR5B	Thyroid	Thyroid
GTEX-1RQEC-1126-SM-EAZ5E	Liver	Liver
GTEX-1RQEC-1226-SM-GNINB	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1RQEC-1326-SM-HLJQR	Testis	Testis
GTEX-1RQEC-1726-SM-HKZZX	Esophagus	Esophagus - Muscularis
GTEX-1RQEC-1826-SM-G8OMJ	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-1RQEC-1926-SM-DTX7M	Adrenal Gland	Adrenal Gland
GTEX-1RQEC-2026-SM-DTXDM	Breast	Breast - Mammary Tissue
GTEX-1RQEC-2126-SM-DPS15	Stomach	Stomach
GTEX-1RQEC-2326-SM-F33ZO	Prostate	Prostate
GTEX-1RQEC-2426-SM-F2I1J	Kidney	Kidney - Cortex
GTEX-1RQEC-2526-SM-EVYD2	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1RQEC-2626-SM-EVR3Z	Colon	Colon - Sigmoid
GTEX-1RQEC-2726-SM-GOR1P	Colon	Colon - Transverse
GTEX-1RQEC-2926-SM-EVR5A	Brain	Brain - Cortex
GTEX-1RQEC-3026-SM-DPRXM	Brain	Brain - Cerebellum
GTEX-1RQED-0005-SM-DO11Z	Blood	Whole Blood
GTEX-1RQED-0011-R10a-SM-F64A1	Brain	Brain - Frontal Cortex (BA9)
GTEX-1RQED-0011-R11a-SM-F2I2Y	Brain	Brain - Cerebellar Hemisphere
GTEX-1RQED-0011-R1a-SM-F3K5W	Brain	Brain - Hippocampus
GTEX-1RQED-0011-R2a-SM-F3K5T	Brain	Brain - Substantia nigra
GTEX-1RQED-0011-R3a-SM-F341T	Brain	Brain - Anterior cingulate cortex (BA24)
GTEX-1RQED-0011-R4b-SM-F2I2X	Brain	Brain - Amygdala
GTEX-1RQED-0011-R5b-SM-F3K56	Brain	Brain - Caudate (basal ganglia)
GTEX-1RQED-0011-R6b-SM-F3K5S	Brain	Brain - Nucleus accumbens (basal ganglia)
GTEX-1RQED-0011-R8a-SM-G8LKO	Brain	Brain - Hypothalamus
GTEX-1RQED-0326-SM-HL11M	Adipose Tissue	Adipose - Subcutaneous
GTEX-1RQED-0426-SM-E6CJP	Muscle	Muscle - Skeletal
GTEX-1RQED-0526-SM-G8OMK	Blood Vessel	Artery - Tibial
GTEX-1RQED-0726-SM-HLJQL	Liver	Liver
GTEX-1RQED-0826-SM-GNIP9	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1RQED-0926-SM-EWRNZ	Thyroid	Thyroid
GTEX-1RQED-1026-SM-EVYCT	Lung	Lung
GTEX-1RQED-1126-SM-EVYCU	Blood Vessel	Artery - Aorta
GTEX-1RQED-1626-SM-EAZ55	Testis	Testis
GTEX-1RQED-2826-SM-HLJQK	Small Intestine	Small Intestine - Terminal Ileum
GTEX-1RQED-2926-SM-HPAFT	Salivary Gland	Minor Salivary Gland
GTEX-1RQED-3126-SM-HL9SY	Brain	Brain - Cerebellum
GTEX-1RQED-3226-SM-F2I3B	Pituitary	Pituitary
GTEX-1S3DN-0006-SM-DO127	Blood	Whole Blood
GTEX-1S3DN-0008-SM-HPAE5	Skin	Cells - Cultured fibroblasts
GTEX-1S3DN-0326-SM-F2I3C	Adrenal Gland	Adrenal Gland
GTEX-1S3DN-0526-SM-F2TBO	Thyroid	Thyroid
GTEX-1S3DN-0626-SM-E9U51	Blood Vessel	Artery - Aorta
GTEX-1S3DN-0726-SM-E9TIO	Heart	Heart - Left Ventricle
GTEX-1S3DN-0826-SM-GMXCM	Heart	Heart - Atrial Appendage
GTEX-1S3DN-1026-SM-HK7AU	Lung	Lung
GTEX-1S3DN-1126-SM-HLJQO	Liver	Liver
GTEX-1S3DN-1226-SM-HM8TZ	Esophagus	Esophagus - Mucosa
GTEX-1S3DN-1326-SM-F3K61	Esophagus	Esophagus - Muscularis
GTEX-1S3DN-1426-SM-EWRNO	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-1S3DN-1526-SM-EVYCB	Stomach	Stomach
GTEX-1S3DN-1626-SM-EVYCC	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1S3DN-1826-SM-EV79K	Colon	Colon - Transverse
GTEX-1S3DN-1926-SM-E6CIR	Prostate	Prostate
GTEX-1S3DN-2126-SM-E9TIN	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1S3DN-2226-SM-EVYCD	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1S3DN-2326-SM-G8OKS	Adipose Tissue	Adipose - Subcutaneous
GTEX-1S3DN-2426-SM-HKZZO	Muscle	Muscle - Skeletal
GTEX-1S3DN-2526-SM-HKZZW	Nerve	Nerve - Tibial
GTEX-1S3DN-2626-SM-EVYCE	Blood Vessel	Artery - Tibial
GTEX-1S5VW-0005-SM-CYPS4	Blood	Whole Blood
GTEX-1S5VW-0126-SM-G8OM7	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1S5VW-0326-SM-G8OL1	Nerve	Nerve - Tibial
GTEX-1S5VW-0426-SM-E9U6G	Blood Vessel	Artery - Tibial
GTEX-1S5VW-0526-SM-E6CHL	Muscle	Muscle - Skeletal
GTEX-1S5VW-0626-SM-G8OML	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1S5VW-0826-SM-F64A2	Thyroid	Thyroid
GTEX-1S5VW-0926-SM-EWRNU	Lung	Lung
GTEX-1S5VW-1026-SM-HK797	Salivary Gland	Minor Salivary Gland
GTEX-1S5VW-1126-SM-GNIPJ	Blood Vessel	Artery - Aorta
GTEX-1S5VW-1226-SM-GNIP2	Heart	Heart - Atrial Appendage
GTEX-1S5VW-1326-SM-E9TKA	Heart	Heart - Left Ventricle
GTEX-1S5VW-1826-SM-EAZ53	Liver	Liver
GTEX-1S5VW-2426-SM-EAZ52	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1S5VW-2626-SM-EVR4W	Testis	Testis
GTEX-1S5VW-2726-SM-G8LKM	Colon	Colon - Sigmoid
GTEX-1S5VW-2826-SM-HK7AS	Prostate	Prostate
GTEX-1S5VW-2926-SM-E9U6H	Colon	Colon - Transverse
GTEX-1S5VW-3026-SM-EV7B5	Pituitary	Pituitary
GTEX-1S5ZA-0005-SM-CYPS2	Blood	Whole Blood
GTEX-1S5ZA-0008-SM-HPAEL	Skin	Cells - Cultured fibroblasts
GTEX-1S5ZA-0126-SM-EVYCV	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1S5ZA-0226-SM-G8OLB	Adipose Tissue	Adipose - Subcutaneous
GTEX-1S5ZA-0326-SM-EWRN5	Nerve	Nerve - Tibial
GTEX-1S5ZA-0426-SM-E6CJR	Blood Vessel	Artery - Tibial
GTEX-1S5ZA-0526-SM-EWRO1	Muscle	Muscle - Skeletal
GTEX-1S5ZA-0626-SM-HM8TK	Thyroid	Thyroid
GTEX-1S5ZA-0926-SM-EVR55	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-1S5ZA-1026-SM-EWRO2	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1S5ZA-1126-SM-EVYBU	Blood Vessel	Artery - Aorta
GTEX-1S5ZA-1226-SM-F648J	Stomach	Stomach
GTEX-1S5ZA-1326-SM-EV7BB	Small Intestine	Small Intestine - Terminal Ileum
GTEX-1S5ZA-1426-SM-E6CJQ	Colon	Colon - Sigmoid
GTEX-1S5ZA-1526-SM-HLJR3	Colon	Colon - Transverse
GTEX-1S5ZA-1626-SM-E9TKG	Prostate	Prostate
GTEX-1S5ZA-1726-SM-HLJR2	Testis	Testis
GTEX-1S5ZA-1826-SM-GPIAD	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1S5ZU-0005-SM-CYPS3	Blood	Whole Blood
GTEX-1S5ZU-0008-SM-HPAFA	Skin	Cells - Cultured fibroblasts
GTEX-1S5ZU-0126-SM-G8OKQ	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1S5ZU-0226-SM-E6CHW	Adipose Tissue	Adipose - Subcutaneous
GTEX-1S5ZU-0326-SM-GPIAF	Muscle	Muscle - Skeletal
GTEX-1S5ZU-0426-SM-HAV3U	Nerve	Nerve - Tibial
GTEX-1S5ZU-0526-SM-E9U4S	Blood Vessel	Artery - Tibial
GTEX-1S5ZU-0726-SM-EWROH	Thyroid	Thyroid
GTEX-1S5ZU-0926-SM-HPAEX	Salivary Gland	Minor Salivary Gland
GTEX-1S5ZU-1026-SM-HK794	Lung	Lung
GTEX-1S5ZU-1226-SM-F3K4A	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1S5ZU-2326-SM-EAZ5B	Ovary	Ovary
GTEX-1S5ZU-2526-SM-E6CIF	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1S5ZU-2626-SM-E9TII	Vagina	Vagina
GTEX-1S5ZU-2726-SM-G8LM5	Uterus	Uterus
GTEX-1S82P-0003-SM-HPAE8	Blood	Cells - EBV-transformed lymphocytes
GTEX-1S82P-0005-SM-CM2RX	Blood	Whole Blood
GTEX-1S82P-0008-SM-HPAF6	Skin	Cells - Cultured fibroblasts
GTEX-1S82P-0126-SM-GNIOQ	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1S82P-0226-SM-E6CI6	Adipose Tissue	Adipose - Subcutaneous
GTEX-1S82P-0326-SM-E9TIR	Muscle	Muscle - Skeletal
GTEX-1S82P-0526-SM-EVR4N	Blood Vessel	Artery - Tibial
GTEX-1S82P-0726-SM-EVR4O	Salivary Gland	Minor Salivary Gland
GTEX-1S82P-0826-SM-EVR4P	Lung	Lung
GTEX-1S82P-0926-SM-EWRNP	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1S82P-1026-SM-EAZ4W	Pancreas	Pancreas
GTEX-1S82P-1126-SM-EV79M	Adrenal Gland	Adrenal Gland
GTEX-1S82P-1326-SM-HL9SA	Spleen	Spleen
GTEX-1S82P-1526-SM-GOR1E	Esophagus	Esophagus - Muscularis
GTEX-1S82P-1626-SM-EVR4Q	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-1S82P-1726-SM-F2I28	Stomach	Stomach
GTEX-1S82P-2026-SM-E9TIQ	Colon	Colon - Sigmoid
GTEX-1S82P-2126-SM-E6CI5	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1S82P-2226-SM-GNIOX	Breast	Breast - Mammary Tissue
GTEX-1S82U-0001-SM-HPAEW	Blood	Cells - EBV-transformed lymphocytes
GTEX-1S82U-0005-SM-CYPRW	Blood	Whole Blood
GTEX-1S82U-0008-SM-HPAFX	Skin	Cells - Cultured fibroblasts
GTEX-1S82U-0126-SM-HAV3V	Blood Vessel	Artery - Aorta
GTEX-1S82U-0326-SM-GQ1DW	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-1S82U-0626-SM-GNTCU	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1S82U-0726-SM-E9TKI	Colon	Colon - Transverse
GTEX-1S82U-1026-SM-E6CJK	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1S82U-1126-SM-E9U6I	Breast	Breast - Mammary Tissue
GTEX-1S82U-1226-SM-E9TKB	Uterus	Uterus
GTEX-1S82U-1326-SM-E9U6J	Nerve	Nerve - Tibial
GTEX-1S82U-1426-SM-E6CJL	Muscle	Muscle - Skeletal
GTEX-1S82U-1526-SM-GNIP3	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1S82U-1626-SM-GMXCN	Adipose Tissue	Adipose - Subcutaneous
GTEX-1S82U-1726-SM-GNIOK	Blood Vessel	Artery - Tibial
GTEX-1S82U-1826-SM-HM8TP	Thyroid	Thyroid
GTEX-1S82Z-0001-SM-GPIA2	Blood	Cells - EBV-transformed lymphocytes
GTEX-1S82Z-0006-SM-DLHC5	Blood	Whole Blood
GTEX-1S82Z-0008-SM-HPAFI	Skin	Cells - Cultured fibroblasts
GTEX-1S82Z-0126-SM-F2I21	Spleen	Spleen
GTEX-1S82Z-0226-SM-HK7AT	Thyroid	Thyroid
GTEX-1S82Z-0326-SM-GNTCP	Blood Vessel	Artery - Aorta
GTEX-1S82Z-0426-SM-GRR2U	Lung	Lung
GTEX-1S82Z-0526-SM-HM8T1	Esophagus	Esophagus - Mucosa
GTEX-1S82Z-0626-SM-E9TIJ	Esophagus	Esophagus - Muscularis
GTEX-1S82Z-0726-SM-E6CHX	Breast	Breast - Mammary Tissue
GTEX-1S82Z-0826-SM-E6CHY	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1S82Z-0926-SM-HAV3X	Muscle	Muscle - Skeletal
GTEX-1S82Z-1026-SM-GMXC4	Adipose Tissue	Adipose - Subcutaneous
GTEX-1S82Z-1426-SM-G8OMV	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1S82Z-1626-SM-G8OLC	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1S82Z-1726-SM-E6CHZ	Stomach	Stomach
GTEX-1S82Z-1826-SM-E9TIK	Small Intestine	Small Intestine - Terminal Ileum
GTEX-1S82Z-1926-SM-HLJQ2	Colon	Colon - Transverse
GTEX-1S831-0006-SM-DLHC1	Blood	Whole Blood
GTEX-1S831-0008-SM-HPAE6	Skin	Cells - Cultured fibroblasts
GTEX-1S831-0126-SM-F648K	Muscle	Muscle - Skeletal
GTEX-1S831-0226-SM-F648L	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1S831-0326-SM-EVYD3	Adipose Tissue	Adipose - Subcutaneous
GTEX-1S831-0426-SM-GMXBF	Nerve	Nerve - Tibial
GTEX-1S831-0526-SM-EYYWO	Blood Vessel	Artery - Tibial
GTEX-1S831-0626-SM-EV79N	Pancreas	Pancreas
GTEX-1S831-0726-SM-EV79O	Spleen	Spleen
