Rab_Gene	Hum_Gene
ENSOCUG00000005403	ENSG00000152683
ENSOCUG00000005407	ENSG00000183431
ENSOCUG00000005408	ENSG00000105501
ENSOCUG00000005408	ENSG00000254415
ENSOCUG00000005408	ENSG00000268500
ENSOCUG00000005409	ENSG00000173905
ENSOCUG00000005413	ENSG00000112357
ENSOCUG00000005414	ENSG00000089048
ENSOCUG00000005415	ENSG00000101417
ENSOCUG00000005417	ENSG00000185873
ENSOCUG00000005418	ENSG00000182747
ENSOCUG00000005419	ENSG00000101247
ENSOCUG00000005422	ENSG00000124216
ENSOCUG00000005423	ENSG00000101251
ENSOCUG00000005427	ENSG00000118260
ENSOCUG00000005430	ENSG00000143621
ENSOCUG00000005431	ENSG00000144401
ENSOCUG00000005434	ENSG00000165406
ENSOCUG00000005436	ENSG00000143624
ENSOCUG00000005439	ENSG00000135083
ENSOCUG00000005443	ENSG00000125255
ENSOCUG00000005445	ENSG00000204010
ENSOCUG00000005446	ENSG00000124198
ENSOCUG00000005449	ENSG00000028528
ENSOCUG00000005456	ENSG00000152049
ENSOCUG00000005457	ENSG00000143554
ENSOCUG00000005459	ENSG00000124207
ENSOCUG00000005460	ENSG00000114742
ENSOCUG00000005461	ENSG00000138032
ENSOCUG00000005461	ENSG00000285542
ENSOCUG00000005463	ENSG00000143207
ENSOCUG00000005464	ENSG00000138079
ENSOCUG00000005467	ENSG00000114745
ENSOCUG00000005468	ENSG00000184056
ENSOCUG00000005468	ENSG00000284946
ENSOCUG00000005469	ENSG00000152266
ENSOCUG00000005471	ENSG00000138078
ENSOCUG00000005473	ENSG00000168026
ENSOCUG00000005474	ENSG00000163069
ENSOCUG00000005476	ENSG00000143919
ENSOCUG00000005480	ENSG00000141384
ENSOCUG00000005485	ENSG00000204314
ENSOCUG00000005487	ENSG00000157764
ENSOCUG00000005488	ENSG00000155890
ENSOCUG00000005489	ENSG00000180228
ENSOCUG00000005490	ENSG00000131043
ENSOCUG00000005492	ENSG00000221988
ENSOCUG00000005492	ENSG00000258388
ENSOCUG00000005494	ENSG00000197584
ENSOCUG00000005494	ENSG00000275163
ENSOCUG00000005496	ENSG00000021488
ENSOCUG00000005499	ENSG00000137207
ENSOCUG00000005505	ENSG00000277363
ENSOCUG00000005508	ENSG00000108091
ENSOCUG00000005511	ENSG00000125755
ENSOCUG00000005512	ENSG00000143171
ENSOCUG00000005513	ENSG00000096060
ENSOCUG00000005515	ENSG00000198130
ENSOCUG00000005516	ENSG00000163466
ENSOCUG00000005518	ENSG00000162763
ENSOCUG00000005519	ENSG00000157343
ENSOCUG00000005522	ENSG00000147573
ENSOCUG00000005523	ENSG00000139344
ENSOCUG00000005524	ENSG00000135926
ENSOCUG00000005525	ENSG00000170734
ENSOCUG00000005526	ENSG00000164074
ENSOCUG00000005529	ENSG00000172432
ENSOCUG00000005531	ENSG00000109814
ENSOCUG00000005532	ENSG00000124688
ENSOCUG00000005535	ENSG00000111144
ENSOCUG00000005537	ENSG00000172426
ENSOCUG00000005539	ENSG00000169992
ENSOCUG00000005540	ENSG00000077274
ENSOCUG00000005545	ENSG00000105447
ENSOCUG00000005549	ENSG00000162490
ENSOCUG00000005551	ENSG00000048707
ENSOCUG00000005553	ENSG00000065135
ENSOCUG00000005556	ENSG00000111850
ENSOCUG00000005557	ENSG00000165915
ENSOCUG00000005558	ENSG00000147485
ENSOCUG00000005559	ENSG00000109436
ENSOCUG00000005562	ENSG00000137968
ENSOCUG00000005564	ENSG00000168944
ENSOCUG00000005568	ENSG00000249948
ENSOCUG00000005575	ENSG00000132589
ENSOCUG00000005576	ENSG00000101040
ENSOCUG00000005579	ENSG00000259207
ENSOCUG00000005579	ENSG00000259753
ENSOCUG00000005584	ENSG00000154978
ENSOCUG00000005590	ENSG00000114423
ENSOCUG00000005592	ENSG00000139329
ENSOCUG00000005593	ENSG00000137726
ENSOCUG00000005595	ENSG00000123307
ENSOCUG00000005602	ENSG00000117385
ENSOCUG00000005605	ENSG00000168675
ENSOCUG00000005608	ENSG00000188738
ENSOCUG00000005610	ENSG00000101654
ENSOCUG00000005620	ENSG00000179915
ENSOCUG00000005624	ENSG00000205531
ENSOCUG00000005627	ENSG00000124160
ENSOCUG00000005628	ENSG00000166086
ENSOCUG00000005631	ENSG00000101017
ENSOCUG00000005632	ENSG00000172023
ENSOCUG00000005633	ENSG00000125482
ENSOCUG00000005634	ENSG00000132698
ENSOCUG00000005638	ENSG00000119402
ENSOCUG00000005642	ENSG00000105887
ENSOCUG00000005643	ENSG00000115750
ENSOCUG00000005645	ENSG00000119283
ENSOCUG00000005648	ENSG00000140382
ENSOCUG00000005652	ENSG00000007952
ENSOCUG00000005655	ENSG00000136824
ENSOCUG00000005659	ENSG00000119403
ENSOCUG00000005660	ENSG00000197461
ENSOCUG00000005664	ENSG00000116906
ENSOCUG00000005665	ENSG00000235173
ENSOCUG00000005669	ENSG00000111452
ENSOCUG00000005673	ENSG00000106804
ENSOCUG00000005675	ENSG00000116898
ENSOCUG00000005676	ENSG00000119523
ENSOCUG00000005685	ENSG00000100815
ENSOCUG00000005689	ENSG00000139625
ENSOCUG00000005694	ENSG00000106330
ENSOCUG00000005695	ENSG00000142892
ENSOCUG00000005702	ENSG00000165996
ENSOCUG00000005707	ENSG00000170653
ENSOCUG00000005709	ENSG00000165434
ENSOCUG00000005711	ENSG00000153140
ENSOCUG00000005713	ENSG00000165934
ENSOCUG00000005714	ENSG00000107862
ENSOCUG00000005716	ENSG00000197506
ENSOCUG00000005719	ENSG00000198060
ENSOCUG00000005721	ENSG00000170214
ENSOCUG00000005722	ENSG00000172292
ENSOCUG00000005724	ENSG00000113312
ENSOCUG00000005726	ENSG00000158042
ENSOCUG00000005729	ENSG00000100599
ENSOCUG00000005730	ENSG00000163072
ENSOCUG00000005731	ENSG00000170234
ENSOCUG00000005736	ENSG00000111885
ENSOCUG00000005737	ENSG00000100600
ENSOCUG00000005740	ENSG00000170540
ENSOCUG00000005741	ENSG00000145495
ENSOCUG00000005747	ENSG00000084636
ENSOCUG00000005749	ENSG00000089157
ENSOCUG00000005751	ENSG00000059915
ENSOCUG00000005754	ENSG00000089159
ENSOCUG00000005755	ENSG00000101752
ENSOCUG00000005756	ENSG00000166471
ENSOCUG00000005757	ENSG00000171487
ENSOCUG00000005759	ENSG00000092621
ENSOCUG00000005760	ENSG00000165548
ENSOCUG00000005763	ENSG00000151327
ENSOCUG00000005764	ENSG00000107872
ENSOCUG00000005766	ENSG00000096433
ENSOCUG00000005767	ENSG00000134240
ENSOCUG00000005768	ENSG00000092020
ENSOCUG00000005769	ENSG00000102858
ENSOCUG00000005770	ENSG00000138111
ENSOCUG00000005775	ENSG00000101057
ENSOCUG00000005776	ENSG00000009830
ENSOCUG00000005778	ENSG00000106034
ENSOCUG00000005779	ENSG00000138107
ENSOCUG00000005780	ENSG00000105707
ENSOCUG00000005781	ENSG00000107882
ENSOCUG00000005783	ENSG00000170584
ENSOCUG00000005786	ENSG00000171206
ENSOCUG00000005788	ENSG00000137204
ENSOCUG00000005792	ENSG00000138175
ENSOCUG00000005794	ENSG00000148175
ENSOCUG00000005802	ENSG00000137288
ENSOCUG00000005809	ENSG00000106692
ENSOCUG00000005816	ENSG00000154556
ENSOCUG00000005819	ENSG00000115085
ENSOCUG00000005820	ENSG00000171848
ENSOCUG00000005826	ENSG00000138650
ENSOCUG00000005827	ENSG00000090006
ENSOCUG00000005829	ENSG00000124003
ENSOCUG00000005836	ENSG00000157168
ENSOCUG00000005846	ENSG00000148218
ENSOCUG00000005849	ENSG00000110367
ENSOCUG00000005850	ENSG00000183185
ENSOCUG00000005852	ENSG00000136110
ENSOCUG00000005854	ENSG00000148229
ENSOCUG00000005855	ENSG00000108381
ENSOCUG00000005856	ENSG00000139197
ENSOCUG00000005857	ENSG00000157653
ENSOCUG00000005858	ENSG00000112335
ENSOCUG00000005859	ENSG00000187239
ENSOCUG00000005862	ENSG00000135537
ENSOCUG00000005865	ENSG00000159307
ENSOCUG00000005867	ENSG00000184009
ENSOCUG00000005870	ENSG00000126091
ENSOCUG00000005872	ENSG00000078140
ENSOCUG00000005878	ENSG00000162959
ENSOCUG00000005880	ENSG00000121892
ENSOCUG00000005881	ENSG00000117408
ENSOCUG00000005885	ENSG00000152580
ENSOCUG00000005887	ENSG00000116698
ENSOCUG00000005891	ENSG00000107105
ENSOCUG00000005892	ENSG00000004777
ENSOCUG00000005895	ENSG00000117410
ENSOCUG00000005896	ENSG00000109452
ENSOCUG00000005900	ENSG00000163520
ENSOCUG00000005903	ENSG00000157216
ENSOCUG00000005905	ENSG00000164506
ENSOCUG00000005908	ENSG00000138459
ENSOCUG00000005911	ENSG00000145781
ENSOCUG00000005912	ENSG00000114480
ENSOCUG00000005920	ENSG00000198055
ENSOCUG00000005922	ENSG00000162174
ENSOCUG00000005923	ENSG00000205423
ENSOCUG00000005924	ENSG00000117394
ENSOCUG00000005926	ENSG00000114316
ENSOCUG00000005927	ENSG00000183549
ENSOCUG00000005929	ENSG00000158186
ENSOCUG00000005932	ENSG00000125633
ENSOCUG00000005933	ENSG00000066813
ENSOCUG00000005933	ENSG00000183747
ENSOCUG00000005935	ENSG00000172156
ENSOCUG00000005936	ENSG00000267796
ENSOCUG00000005937	ENSG00000145284
ENSOCUG00000005938	ENSG00000233276
ENSOCUG00000005942	ENSG00000197892
ENSOCUG00000005946	ENSG00000070214
ENSOCUG00000005947	ENSG00000136155
ENSOCUG00000005948	ENSG00000104093
ENSOCUG00000005952	ENSG00000148925
ENSOCUG00000005954	ENSG00000132763
ENSOCUG00000005955	ENSG00000168393
ENSOCUG00000005957	ENSG00000170633
ENSOCUG00000005958	ENSG00000107518
ENSOCUG00000005959	ENSG00000179477
ENSOCUG00000005961	ENSG00000089094
ENSOCUG00000005967	ENSG00000140396
ENSOCUG00000005970	ENSG00000181789
ENSOCUG00000005975	ENSG00000115073
ENSOCUG00000005976	ENSG00000196329
ENSOCUG00000005976	ENSG00000281887
ENSOCUG00000005977	ENSG00000222011
ENSOCUG00000005979	ENSG00000138813
ENSOCUG00000005980	ENSG00000166716
ENSOCUG00000005982	ENSG00000158470
ENSOCUG00000005983	ENSG00000183624
ENSOCUG00000005985	ENSG00000120885
ENSOCUG00000005986	ENSG00000029993
ENSOCUG00000005988	ENSG00000124151
ENSOCUG00000005990	ENSG00000144649
ENSOCUG00000005992	ENSG00000144118
ENSOCUG00000005993	ENSG00000106384
ENSOCUG00000005996	ENSG00000125676
ENSOCUG00000005997	ENSG00000162039
ENSOCUG00000006007	ENSG00000135338
ENSOCUG00000006010	ENSG00000111348
ENSOCUG00000006014	ENSG00000139053
ENSOCUG00000006015	ENSG00000136630
ENSOCUG00000006016	ENSG00000102172
ENSOCUG00000006018	ENSG00000103415
ENSOCUG00000006020	ENSG00000102174
ENSOCUG00000006022	ENSG00000106125
ENSOCUG00000006024	ENSG00000101199
ENSOCUG00000006026	ENSG00000170142
ENSOCUG00000006029	ENSG00000175899
ENSOCUG00000006032	ENSG00000114982
ENSOCUG00000006034	ENSG00000022267
ENSOCUG00000006043	ENSG00000058056
ENSOCUG00000006044	ENSG00000185250
ENSOCUG00000006045	ENSG00000108799
ENSOCUG00000006047	ENSG00000152939
ENSOCUG00000006048	ENSG00000135596
ENSOCUG00000006053	ENSG00000114757
ENSOCUG00000006055	ENSG00000082996
ENSOCUG00000006056	ENSG00000107968
ENSOCUG00000006059	ENSG00000070087
ENSOCUG00000006061	ENSG00000172673
ENSOCUG00000006062	ENSG00000113163
ENSOCUG00000006066	ENSG00000123908
ENSOCUG00000006068	ENSG00000110075
ENSOCUG00000006069	ENSG00000176399
ENSOCUG00000006073	ENSG00000076067
ENSOCUG00000006075	ENSG00000180251
ENSOCUG00000006076	ENSG00000135045
ENSOCUG00000006084	ENSG00000164237
ENSOCUG00000006085	ENSG00000129151
ENSOCUG00000006090	ENSG00000110955
ENSOCUG00000006091	ENSG00000143867
ENSOCUG00000006092	ENSG00000146085
ENSOCUG00000006096	ENSG00000151458
ENSOCUG00000006100	ENSG00000115946
ENSOCUG00000006102	ENSG00000055483
ENSOCUG00000006104	ENSG00000137691
ENSOCUG00000006107	ENSG00000175318
ENSOCUG00000006110	ENSG00000114867
ENSOCUG00000006111	ENSG00000203972
ENSOCUG00000006112	ENSG00000109956
ENSOCUG00000006113	ENSG00000115956
ENSOCUG00000006117	ENSG00000171865
ENSOCUG00000006117	ENSG00000286905
ENSOCUG00000006118	ENSG00000162065
ENSOCUG00000006118	ENSG00000260272
ENSOCUG00000006119	ENSG00000067225
ENSOCUG00000006124	ENSG00000206535
ENSOCUG00000006125	ENSG00000144852
ENSOCUG00000006126	ENSG00000111785
ENSOCUG00000006129	ENSG00000165076
ENSOCUG00000006131	ENSG00000152583
ENSOCUG00000006133	ENSG00000184381
ENSOCUG00000006137	ENSG00000103811
ENSOCUG00000006143	ENSG00000135720
ENSOCUG00000006145	ENSG00000101938
ENSOCUG00000006148	ENSG00000004948
ENSOCUG00000006153	ENSG00000121390
ENSOCUG00000006160	ENSG00000128463
ENSOCUG00000006165	ENSG00000152558
ENSOCUG00000006166	ENSG00000014641
ENSOCUG00000006167	ENSG00000188488
ENSOCUG00000006169	ENSG00000113649
ENSOCUG00000006171	ENSG00000128923
ENSOCUG00000006172	ENSG00000037241
ENSOCUG00000006174	ENSG00000113732
ENSOCUG00000006179	ENSG00000056972
ENSOCUG00000006182	ENSG00000006128
ENSOCUG00000006188	ENSG00000135406
ENSOCUG00000006190	ENSG00000149294
ENSOCUG00000006191	ENSG00000163444
ENSOCUG00000006192	ENSG00000188352
ENSOCUG00000006194	ENSG00000115919
ENSOCUG00000006202	ENSG00000167548
ENSOCUG00000006203	ENSG00000198842
ENSOCUG00000006204	ENSG00000160185
ENSOCUG00000006205	ENSG00000188162
ENSOCUG00000006207	ENSG00000011114
ENSOCUG00000006208	ENSG00000179583
ENSOCUG00000006214	ENSG00000124214
ENSOCUG00000006216	ENSG00000124570
ENSOCUG00000006217	ENSG00000038532
ENSOCUG00000006219	ENSG00000164978
ENSOCUG00000006220	ENSG00000109572
ENSOCUG00000006221	ENSG00000162437
ENSOCUG00000006224	ENSG00000116127
ENSOCUG00000006227	ENSG00000162434
ENSOCUG00000006230	ENSG00000151461
ENSOCUG00000006235	ENSG00000163605
ENSOCUG00000006239	ENSG00000164796
ENSOCUG00000006248	ENSG00000134470
ENSOCUG00000006251	ENSG00000104755
ENSOCUG00000006258	ENSG00000166415
ENSOCUG00000006262	ENSG00000113387
ENSOCUG00000006264	ENSG00000114115
ENSOCUG00000006266	ENSG00000185022
ENSOCUG00000006268	ENSG00000147010
ENSOCUG00000006271	ENSG00000180264
ENSOCUG00000006279	ENSG00000149657
ENSOCUG00000006280	ENSG00000204539
ENSOCUG00000006284	ENSG00000100099
ENSOCUG00000006289	ENSG00000170703
ENSOCUG00000006292	ENSG00000105967
ENSOCUG00000006297	ENSG00000093010
ENSOCUG00000006298	ENSG00000100109
ENSOCUG00000006299	ENSG00000099889
ENSOCUG00000006306	ENSG00000158828
ENSOCUG00000006311	ENSG00000112245
ENSOCUG00000006312	ENSG00000148843
ENSOCUG00000006318	ENSG00000149932
ENSOCUG00000006320	ENSG00000080503
ENSOCUG00000006321	ENSG00000117519
ENSOCUG00000006325	ENSG00000143891
ENSOCUG00000006327	ENSG00000038358
ENSOCUG00000006329	ENSG00000149925
ENSOCUG00000006333	ENSG00000104325
ENSOCUG00000006335	ENSG00000149923
ENSOCUG00000006336	ENSG00000138172
ENSOCUG00000006337	ENSG00000170893
ENSOCUG00000006341	ENSG00000104327
ENSOCUG00000006343	ENSG00000119138
ENSOCUG00000006345	ENSG00000135677
ENSOCUG00000006350	ENSG00000124067
ENSOCUG00000006352	ENSG00000100350
ENSOCUG00000006355	ENSG00000137628
ENSOCUG00000006357	ENSG00000151388
ENSOCUG00000006360	ENSG00000143740
ENSOCUG00000006362	ENSG00000145832
ENSOCUG00000006363	ENSG00000100353
ENSOCUG00000006368	ENSG00000109919
ENSOCUG00000006370	ENSG00000182774
ENSOCUG00000006372	ENSG00000179454
ENSOCUG00000006373	ENSG00000099810
ENSOCUG00000006378	ENSG00000198718
ENSOCUG00000006381	ENSG00000112799
ENSOCUG00000006384	ENSG00000198515
ENSOCUG00000006388	ENSG00000172932
ENSOCUG00000006390	ENSG00000119844
ENSOCUG00000006392	ENSG00000101843
ENSOCUG00000006393	ENSG00000172830
ENSOCUG00000006396	ENSG00000093009
ENSOCUG00000006402	ENSG00000153823
ENSOCUG00000006404	ENSG00000011083
ENSOCUG00000006413	ENSG00000152669
ENSOCUG00000006418	ENSG00000090273
ENSOCUG00000006419	ENSG00000104808
ENSOCUG00000006420	ENSG00000176994
ENSOCUG00000006427	ENSG00000183207
ENSOCUG00000006432	ENSG00000151151
ENSOCUG00000006433	ENSG00000165280
ENSOCUG00000006435	ENSG00000160570
ENSOCUG00000006437	ENSG00000108309
ENSOCUG00000006439	ENSG00000174306
ENSOCUG00000006442	ENSG00000221829
ENSOCUG00000006443	ENSG00000138593
ENSOCUG00000006444	ENSG00000156535
ENSOCUG00000006445	ENSG00000174804
ENSOCUG00000006446	ENSG00000145439
ENSOCUG00000006447	ENSG00000013306
ENSOCUG00000006449	ENSG00000103723
ENSOCUG00000006451	ENSG00000165283
ENSOCUG00000006453	ENSG00000159899
ENSOCUG00000006455	ENSG00000166200
ENSOCUG00000006457	ENSG00000005238
ENSOCUG00000006458	ENSG00000079432
ENSOCUG00000006461	ENSG00000156958
ENSOCUG00000006463	ENSG00000106617
ENSOCUG00000006467	ENSG00000121579
ENSOCUG00000006469	ENSG00000177885
ENSOCUG00000006470	ENSG00000079462
ENSOCUG00000006471	ENSG00000162373
ENSOCUG00000006473	ENSG00000114573
ENSOCUG00000006482	ENSG00000137965
ENSOCUG00000006485	ENSG00000154719
ENSOCUG00000006495	ENSG00000011198
ENSOCUG00000006497	ENSG00000130508
ENSOCUG00000006499	ENSG00000137463
ENSOCUG00000006500	ENSG00000080493
ENSOCUG00000006502	ENSG00000186522
ENSOCUG00000006503	ENSG00000167202
ENSOCUG00000006508	ENSG00000184588
ENSOCUG00000006510	ENSG00000147894
ENSOCUG00000006512	ENSG00000137692
ENSOCUG00000006515	ENSG00000132153
ENSOCUG00000006519	ENSG00000143994
ENSOCUG00000006522	ENSG00000138073
ENSOCUG00000006534	ENSG00000129680
ENSOCUG00000006535	ENSG00000120910
ENSOCUG00000006537	ENSG00000167272
ENSOCUG00000006539	ENSG00000058668
ENSOCUG00000006541	ENSG00000196670
ENSOCUG00000006544	ENSG00000131446
ENSOCUG00000006548	ENSG00000093144
ENSOCUG00000006552	ENSG00000164031
ENSOCUG00000006554	ENSG00000141644
ENSOCUG00000006561	ENSG00000132530
ENSOCUG00000006563	ENSG00000106571
ENSOCUG00000006565	ENSG00000122591
ENSOCUG00000006567	ENSG00000155034
ENSOCUG00000006571	ENSG00000169914
ENSOCUG00000006582	ENSG00000188257
ENSOCUG00000006589	ENSG00000174718
ENSOCUG00000006591	ENSG00000153130
ENSOCUG00000006592	ENSG00000130741
ENSOCUG00000006592	ENSG00000180574
ENSOCUG00000006593	ENSG00000166333
ENSOCUG00000006594	ENSG00000171503
ENSOCUG00000006595	ENSG00000182179
ENSOCUG00000006597	ENSG00000153132
ENSOCUG00000006602	ENSG00000171497
ENSOCUG00000006603	ENSG00000125457
ENSOCUG00000006604	ENSG00000166340
ENSOCUG00000006606	ENSG00000166341
ENSOCUG00000006607	ENSG00000169567
ENSOCUG00000006616	ENSG00000159658
ENSOCUG00000006622	ENSG00000213066
ENSOCUG00000006623	ENSG00000197021
ENSOCUG00000006623	ENSG00000197620
ENSOCUG00000006624	ENSG00000083642
ENSOCUG00000006626	ENSG00000081177
ENSOCUG00000006627	ENSG00000164305
ENSOCUG00000006630	ENSG00000197587
ENSOCUG00000006632	ENSG00000118242
ENSOCUG00000006633	ENSG00000164627
ENSOCUG00000006634	ENSG00000065809
ENSOCUG00000006635	ENSG00000156170
ENSOCUG00000006638	ENSG00000124780
ENSOCUG00000006639	ENSG00000120658
ENSOCUG00000006641	ENSG00000159023
ENSOCUG00000006642	ENSG00000079246
ENSOCUG00000006644	ENSG00000103591
ENSOCUG00000006646	ENSG00000144357
ENSOCUG00000006647	ENSG00000103599
ENSOCUG00000006648	ENSG00000125450
ENSOCUG00000006649	ENSG00000105063
ENSOCUG00000006650	ENSG00000120705
ENSOCUG00000006655	ENSG00000113013
ENSOCUG00000006656	ENSG00000146122
ENSOCUG00000006658	ENSG00000136122
ENSOCUG00000006660	ENSG00000136688
ENSOCUG00000006661	ENSG00000132481
ENSOCUG00000006663	ENSG00000083520
ENSOCUG00000006667	ENSG00000124615
ENSOCUG00000006669	ENSG00000113712
ENSOCUG00000006672	ENSG00000101052
ENSOCUG00000006678	ENSG00000154721
ENSOCUG00000006680	ENSG00000167578
ENSOCUG00000006680	ENSG00000171570
ENSOCUG00000006681	ENSG00000154723
ENSOCUG00000006684	ENSG00000112081
ENSOCUG00000006685	ENSG00000154727
ENSOCUG00000006686	ENSG00000125944
ENSOCUG00000006688	ENSG00000179889
ENSOCUG00000006689	ENSG00000153774
ENSOCUG00000006691	ENSG00000105928
ENSOCUG00000006694	ENSG00000226979
ENSOCUG00000006697	ENSG00000156515
ENSOCUG00000006698	ENSG00000232810
ENSOCUG00000006699	ENSG00000157045
ENSOCUG00000006701	ENSG00000067365
ENSOCUG00000006703	ENSG00000227507
ENSOCUG00000006707	ENSG00000075073
ENSOCUG00000006713	ENSG00000140285
ENSOCUG00000006720	ENSG00000146192
ENSOCUG00000006721	ENSG00000077254
ENSOCUG00000006722	ENSG00000150201
ENSOCUG00000006726	ENSG00000111981
ENSOCUG00000006726	ENSG00000131015
ENSOCUG00000006726	ENSG00000155918
ENSOCUG00000006726	ENSG00000203722
ENSOCUG00000006727	ENSG00000125841
ENSOCUG00000006734	ENSG00000133454
ENSOCUG00000006735	ENSG00000136448
ENSOCUG00000006738	ENSG00000114503
ENSOCUG00000006739	ENSG00000198951
ENSOCUG00000006746	ENSG00000135250
ENSOCUG00000006747	ENSG00000118997
ENSOCUG00000006749	ENSG00000132874
ENSOCUG00000006751	ENSG00000120992
ENSOCUG00000006752	ENSG00000106484
ENSOCUG00000006753	ENSG00000188770
ENSOCUG00000006756	ENSG00000198478
ENSOCUG00000006760	ENSG00000001497
ENSOCUG00000006768	ENSG00000126882
ENSOCUG00000006769	ENSG00000204290
ENSOCUG00000006774	ENSG00000152582
ENSOCUG00000006776	ENSG00000157181
ENSOCUG00000006777	ENSG00000162636
ENSOCUG00000006778	ENSG00000123179
ENSOCUG00000006781	ENSG00000102753
ENSOCUG00000006783	ENSG00000110799
ENSOCUG00000006784	ENSG00000174705
ENSOCUG00000006787	ENSG00000119725
ENSOCUG00000006789	ENSG00000118939
ENSOCUG00000006790	ENSG00000203909
ENSOCUG00000006791	ENSG00000156050
ENSOCUG00000006792	ENSG00000109805
ENSOCUG00000006793	ENSG00000136153
ENSOCUG00000006794	ENSG00000123240
ENSOCUG00000006796	ENSG00000197838
ENSOCUG00000006796	ENSG00000198077
ENSOCUG00000006796	ENSG00000255974
ENSOCUG00000006797	ENSG00000184634
ENSOCUG00000006799	ENSG00000119723
ENSOCUG00000006802	ENSG00000178177
ENSOCUG00000006806	ENSG00000122952
ENSOCUG00000006807	ENSG00000174373
ENSOCUG00000006811	ENSG00000196338
ENSOCUG00000006815	ENSG00000167104
ENSOCUG00000006819	ENSG00000107077
ENSOCUG00000006820	ENSG00000166069
ENSOCUG00000006822	ENSG00000154429
ENSOCUG00000006823	ENSG00000157500
ENSOCUG00000006825	ENSG00000100916
ENSOCUG00000006826	ENSG00000204869
ENSOCUG00000006829	ENSG00000183111
ENSOCUG00000006831	ENSG00000168243
ENSOCUG00000006837	ENSG00000136715
ENSOCUG00000006838	ENSG00000162512
ENSOCUG00000006839	ENSG00000177614
ENSOCUG00000006841	ENSG00000101076
ENSOCUG00000006847	ENSG00000164695
ENSOCUG00000006855	ENSG00000183495
ENSOCUG00000006858	ENSG00000085415
ENSOCUG00000006859	ENSG00000052795
ENSOCUG00000006861	ENSG00000156475
ENSOCUG00000006867	ENSG00000143153
ENSOCUG00000006872	ENSG00000138080
ENSOCUG00000006873	ENSG00000143156
ENSOCUG00000006874	ENSG00000163001
ENSOCUG00000006880	ENSG00000275052
ENSOCUG00000006883	ENSG00000082068
ENSOCUG00000006888	ENSG00000160401
ENSOCUG00000006893	ENSG00000019169
ENSOCUG00000006895	ENSG00000131095
ENSOCUG00000006896	ENSG00000148688
ENSOCUG00000006898	ENSG00000152822
ENSOCUG00000006900	ENSG00000078043
ENSOCUG00000006901	ENSG00000148677
ENSOCUG00000006903	ENSG00000103037
ENSOCUG00000006905	ENSG00000125652
ENSOCUG00000006907	ENSG00000160404
ENSOCUG00000006911	ENSG00000125107
ENSOCUG00000006913	ENSG00000138892
ENSOCUG00000006916	ENSG00000106605
ENSOCUG00000006919	ENSG00000158865
ENSOCUG00000006924	ENSG00000148468
ENSOCUG00000006925	ENSG00000140750
ENSOCUG00000006927	ENSG00000165895
ENSOCUG00000006930	ENSG00000153820
ENSOCUG00000006932	ENSG00000120727
ENSOCUG00000006934	ENSG00000170482
ENSOCUG00000006942	ENSG00000170476
ENSOCUG00000006943	ENSG00000107731
ENSOCUG00000006944	ENSG00000144228
ENSOCUG00000006948	ENSG00000196419
ENSOCUG00000006955	ENSG00000170464
ENSOCUG00000006961	ENSG00000154783
ENSOCUG00000006962	ENSG00000136010
ENSOCUG00000006964	ENSG00000131100
ENSOCUG00000006966	ENSG00000072778
ENSOCUG00000006967	ENSG00000162869
ENSOCUG00000006969	ENSG00000011465
ENSOCUG00000006970	ENSG00000204385
ENSOCUG00000006972	ENSG00000170035
ENSOCUG00000006975	ENSG00000177463
ENSOCUG00000006979	ENSG00000167220
ENSOCUG00000006981	ENSG00000182077
ENSOCUG00000006982	ENSG00000068781
ENSOCUG00000006982	ENSG00000243244
ENSOCUG00000006984	ENSG00000131368
ENSOCUG00000006986	ENSG00000006747
ENSOCUG00000006987	ENSG00000135951
ENSOCUG00000006988	ENSG00000131381
ENSOCUG00000006990	ENSG00000040633
ENSOCUG00000006993	ENSG00000158525
ENSOCUG00000006994	ENSG00000158769
ENSOCUG00000006997	ENSG00000170296
ENSOCUG00000006999	ENSG00000166278
ENSOCUG00000007000	ENSG00000170291
ENSOCUG00000007010	ENSG00000079785
ENSOCUG00000007013	ENSG00000174327
ENSOCUG00000007014	ENSG00000109686
ENSOCUG00000007019	ENSG00000204351
ENSOCUG00000007028	ENSG00000277443
ENSOCUG00000007031	ENSG00000137106
ENSOCUG00000007033	ENSG00000077264
ENSOCUG00000007035	ENSG00000188729
ENSOCUG00000007038	ENSG00000188958
ENSOCUG00000007039	ENSG00000224389
ENSOCUG00000007039	ENSG00000244731
ENSOCUG00000007042	ENSG00000077279
ENSOCUG00000007043	ENSG00000135090
ENSOCUG00000007046	ENSG00000137168
ENSOCUG00000007047	ENSG00000156599
ENSOCUG00000007048	ENSG00000141068
ENSOCUG00000007050	ENSG00000131051
ENSOCUG00000007051	ENSG00000111707
ENSOCUG00000007052	ENSG00000181195
ENSOCUG00000007055	ENSG00000143850
ENSOCUG00000007056	ENSG00000168477
ENSOCUG00000007058	ENSG00000175166
ENSOCUG00000007059	ENSG00000025293
ENSOCUG00000007060	ENSG00000163357
ENSOCUG00000007065	ENSG00000114859
ENSOCUG00000007068	ENSG00000149646
ENSOCUG00000007069	ENSG00000066468
ENSOCUG00000007070	ENSG00000143537
ENSOCUG00000007073	ENSG00000174720
ENSOCUG00000007079	ENSG00000143590
ENSOCUG00000007079	ENSG00000251246
