A1BG	ENSG00000121410	ENST00000263100
FBXO34	ENSG00000178974	ENST00000555280
FBXO34	ENSG00000178974	ENST00000681400
FBXO34	ENSG00000178974	ENST00000681904
FBXO34	ENSG00000178974	ENST00000440021
FBXO34	ENSG00000178974	ENST00000681074
FBXO34	ENSG00000178974	ENST00000680682
FBXO36	ENSG00000153832	ENST00000409992
FBXO36	ENSG00000153832	ENST00000283946
FBXO36	ENSG00000153832	ENST00000373652
FBXO38	ENSG00000145868	ENST00000340253
FBXO38	ENSG00000145868	ENST00000394370
FBXO38	ENSG00000145868	ENST00000296701
FBXO38	ENSG00000145868	ENST00000513826
FBXO39	ENSG00000177294	ENST00000572251
FBXO39	ENSG00000177294	ENST00000321535
FBXO39	ENSG00000177294	ENST00000575022
FBXO4	ENSG00000151876	ENST00000513496
FBXO4	ENSG00000151876	ENST00000296812
FBXO4	ENSG00000151876	ENST00000504463
FBXO4	ENSG00000151876	ENST00000281623
FBXO4	ENSG00000151876	ENST00000509134
FBXO40	ENSG00000163833	ENST00000338040
FBXO41	ENSG00000163013	ENST00000295133
FBXO41	ENSG00000163013	ENST00000521871
FBXO41	ENSG00000163013	ENST00000520530
FBXO42	ENSG00000037637	ENST00000375592
FBXO43	ENSG00000156509	ENST00000517806
FBXO43	ENSG00000156509	ENST00000428847
FBXO44	ENSG00000132879	ENST00000251546
FBXO44	ENSG00000132879	ENST00000251547
FBXO44	ENSG00000132879	ENST00000475435
FBXO44	ENSG00000132879	ENST00000425796
FBXO44	ENSG00000132879	ENST00000376762
FBXO44	ENSG00000132879	ENST00000376760
FBXO44	ENSG00000132879	ENST00000376770
FBXO44	ENSG00000132879	ENST00000376768
FBXO45	ENSG00000174013	ENST00000440469
FBXO45	ENSG00000174013	ENST00000311630
FBXO46	ENSG00000177051	ENST00000591686
FBXO47	ENSG00000204952	ENST00000378079
FBXO48	ENSG00000204923	ENST00000377957
FBXO5	ENSG00000112029	ENST00000367241
FBXO5	ENSG00000112029	ENST00000229758
FBXO6	ENSG00000116663	ENST00000449067
FBXO6	ENSG00000116663	ENST00000376753
FBXO7	ENSG00000100225	ENST00000420700
FBXO7	ENSG00000100225	ENST00000452138
FBXO7	ENSG00000100225	ENST00000397426
FBXO7	ENSG00000100225	ENST00000444207
FBXO7	ENSG00000100225	ENST00000425028
FBXO8	ENSG00000164117	ENST00000393674
FBXO8	ENSG00000164117	ENST00000515664
FBXO8	ENSG00000164117	ENST00000503293
FBXO8	ENSG00000164117	ENST00000615392
FBXO9	ENSG00000112146	ENST00000484436
FBXO9	ENSG00000112146	ENST00000498744
FBXO9	ENSG00000112146	ENST00000459845
FBXO9	ENSG00000112146	ENST00000370939
FBXW10	ENSG00000171931	ENST00000395665
FBXW10	ENSG00000171931	ENST00000308799
FBXW10	ENSG00000171931	ENST00000574478
FBXW10	ENSG00000171931	ENST00000301938
FBXW10B	ENSG00000241322	ENST00000571263
FBXW10B	ENSG00000241322	ENST00000630868
FBXW10B	ENSG00000241322	ENST00000395667
FBXW10B	ENSG00000241322	ENST00000583965
FBXW10B	ENSG00000241322	ENST00000354433
FBXW10B	ENSG00000241322	ENST00000395906
FBXW11	ENSG00000072803	ENST00000517395
FBXW11	ENSG00000072803	ENST00000265094
FBXW11	ENSG00000072803	ENST00000519693
FBXW11	ENSG00000072803	ENST00000393802
FBXW11	ENSG00000072803	ENST00000296933
FBXW11	ENSG00000072803	ENST00000523843
FBXW11	ENSG00000072803	ENST00000520376
FBXW12	ENSG00000164049	ENST00000445170
FBXW12	ENSG00000164049	ENST00000415155
FBXW12	ENSG00000164049	ENST00000436231
FBXW12	ENSG00000164049	ENST00000296438
FBXW2	ENSG00000119402	ENST00000608872
FBXW2	ENSG00000119402	ENST00000684405
FBXW2	ENSG00000119402	ENST00000453291
FBXW2	ENSG00000119402	ENST00000684047
FBXW2	ENSG00000119402	ENST00000684001
FBXW4	ENSG00000107829	ENST00000664783
FBXW4	ENSG00000107829	ENST00000331272
FBXW5	ENSG00000159069	ENST00000428398
FBXW5	ENSG00000159069	ENST00000487794
FBXW5	ENSG00000159069	ENST00000325285
FBXW7	ENSG00000109670	ENST00000603841
FBXW7	ENSG00000109670	ENST00000603548
FBXW7	ENSG00000109670	ENST00000604872
FBXW7	ENSG00000109670	ENST00000281708
FBXW7	ENSG00000109670	ENST00000642901
FBXW7	ENSG00000109670	ENST00000296555
FBXW8	ENSG00000174989	ENST00000652555
FBXW8	ENSG00000174989	ENST00000455858
FBXW8	ENSG00000174989	ENST00000309909
FBXW9	ENSG00000132004	ENST00000587296
FBXW9	ENSG00000132004	ENST00000393261
FCAMR	ENSG00000162897	ENST00000324863
FCAMR	ENSG00000162897	ENST00000400962
FCAMR	ENSG00000162897	ENST00000450945
FCAMR	ENSG00000162897	ENST00000324852
FCAR	ENSG00000186431	ENST00000391723
FCAR	ENSG00000186431	ENST00000391725
FCAR	ENSG00000186431	ENST00000391726
FCAR	ENSG00000186431	ENST00000469767
FCAR	ENSG00000186431	ENST00000488066
FCAR	ENSG00000186431	ENST00000345937
FCAR	ENSG00000186431	ENST00000355524
FCER1A	ENSG00000179639	ENST00000693622
FCER1A	ENSG00000179639	ENST00000368114
FCER1A	ENSG00000179639	ENST00000368115
FCER1G	ENSG00000158869	ENST00000367992
FCER1G	ENSG00000158869	ENST00000289902
FCER2	ENSG00000104921	ENST00000360067
FCER2	ENSG00000104921	ENST00000597921
FCER2	ENSG00000104921	ENST00000346664
FCF1	ENSG00000119616	ENST00000553615
FCF1	ENSG00000119616	ENST00000554590
FCF1	ENSG00000119616	ENST00000556814
FCF1	ENSG00000119616	ENST00000534938
FCF1	ENSG00000119616	ENST00000341162
FCF1	ENSG00000119616	ENST00000553673
FCGBP	ENSG00000275395	ENST00000616721
FCGR1A	ENSG00000150337	ENST00000369168
FCGR2A	ENSG00000143226	ENST00000271450
FCGR2A	ENSG00000143226	ENST00000467525
FCGR2A	ENSG00000143226	ENST00000367972
FCGR2A	ENSG00000143226	ENST00000536731
FCGR2A	ENSG00000143226	ENST00000699278
FCGR2A	ENSG00000143226	ENST00000483665
FCGR2A	ENSG00000143226	ENST00000699279
FCGR2A	ENSG00000143226	ENST00000699277
FCGR2B	ENSG00000072694	ENST00000367961
FCGR2B	ENSG00000072694	ENST00000358671
FCGR2B	ENSG00000072694	ENST00000236937
FCGR3A	ENSG00000203747	ENST00000699398
FCGR3A	ENSG00000203747	ENST00000367967
FCGR3A	ENSG00000203747	ENST00000426740
FCGR3A	ENSG00000203747	ENST00000699401
FCGR3A	ENSG00000203747	ENST00000699493
FCGR3A	ENSG00000203747	ENST00000442336
FCGR3A	ENSG00000203747	ENST00000436743
FCGR3A	ENSG00000203747	ENST00000699397
FCGR3A	ENSG00000203747	ENST00000699396
FCGR3A	ENSG00000203747	ENST00000699395
FCGR3A	ENSG00000203747	ENST00000699400
FCGR3A	ENSG00000203747	ENST00000699399
FCGR3B	ENSG00000162747	ENST00000367964
FCGR3B	ENSG00000162747	ENST00000534776
FCGR3B	ENSG00000162747	ENST00000650385
FCGRT	ENSG00000104870	ENST00000599701
FCGRT	ENSG00000104870	ENST00000600273
FCGRT	ENSG00000104870	ENST00000598491
FCGRT	ENSG00000104870	ENST00000221466
FCGRT	ENSG00000104870	ENST00000598927
FCGRT	ENSG00000104870	ENST00000599988
FCGRT	ENSG00000104870	ENST00000598319
FCHO1	ENSG00000130475	ENST00000699201
FCHO1	ENSG00000130475	ENST00000699200
FCHO1	ENSG00000130475	ENST00000699203
FCHO1	ENSG00000130475	ENST00000699202
FCHO1	ENSG00000130475	ENST00000699205
FCHO1	ENSG00000130475	ENST00000699207
FCHO1	ENSG00000130475	ENST00000699206
FCHO1	ENSG00000130475	ENST00000699209
FCHO1	ENSG00000130475	ENST00000699208
FCHO1	ENSG00000130475	ENST00000597718
FCHO1	ENSG00000130475	ENST00000596536
FCHO1	ENSG00000130475	ENST00000595549
FCHO1	ENSG00000130475	ENST00000600209
FCHO1	ENSG00000130475	ENST00000596951
FCHO1	ENSG00000130475	ENST00000595023
FCHO1	ENSG00000130475	ENST00000593870
FCHO1	ENSG00000130475	ENST00000699197
FCHO1	ENSG00000130475	ENST00000699196
FCHO1	ENSG00000130475	ENST00000699216
FCHO1	ENSG00000130475	ENST00000699214
FCHO1	ENSG00000130475	ENST00000699215
FCHO1	ENSG00000130475	ENST00000699199
FCHO1	ENSG00000130475	ENST00000699198
FCHO1	ENSG00000130475	ENST00000699210
FCHO1	ENSG00000130475	ENST00000597474
FCHO1	ENSG00000130475	ENST00000598960
FCHO1	ENSG00000130475	ENST00000596507
FCHO1	ENSG00000130475	ENST00000594202
FCHO1	ENSG00000130475	ENST00000598086
FCHO2	ENSG00000157107	ENST00000430046
FCHO2	ENSG00000157107	ENST00000507345
FCHO2	ENSG00000157107	ENST00000287761
FCHSD1	ENSG00000197948	ENST00000519800
FCHSD1	ENSG00000197948	ENST00000522783
FCHSD1	ENSG00000197948	ENST00000522126
FCHSD1	ENSG00000197948	ENST00000435817
FCHSD2	ENSG00000137478	ENST00000409314
FCHSD2	ENSG00000137478	ENST00000409418
FCHSD2	ENSG00000137478	ENST00000422375
FCHSD2	ENSG00000137478	ENST00000409853
FCHSD2	ENSG00000137478	ENST00000432043
FCHSD2	ENSG00000137478	ENST00000458644
FCHSD2	ENSG00000137478	ENST00000311172
FCHSD2	ENSG00000137478	ENST00000543644
FCMR	ENSG00000162894	ENST00000367091
FCMR	ENSG00000162894	ENST00000628511
FCMR	ENSG00000162894	ENST00000530505
FCMR	ENSG00000162894	ENST00000442471
FCN1	ENSG00000085265	ENST00000371806
FCN2	ENSG00000160339	ENST00000291744
FCN2	ENSG00000160339	ENST00000350339
FCN3	ENSG00000142748	ENST00000699963
FCN3	ENSG00000142748	ENST00000354982
FCN3	ENSG00000142748	ENST00000270879
FCRL1	ENSG00000163534	ENST00000368176
FCRL1	ENSG00000163534	ENST00000491942
FCRL1	ENSG00000163534	ENST00000358292
FCRL2	ENSG00000132704	ENST00000368181
FCRL2	ENSG00000132704	ENST00000361516
FCRL2	ENSG00000132704	ENST00000469986
FCRL3	ENSG00000160856	ENST00000368184
FCRL3	ENSG00000160856	ENST00000485028
FCRL3	ENSG00000160856	ENST00000368186
FCRL3	ENSG00000160856	ENST00000492769
FCRL3	ENSG00000160856	ENST00000477837
FCRL4	ENSG00000163518	ENST00000271532
FCRL5	ENSG00000143297	ENST00000368190
FCRL5	ENSG00000143297	ENST00000368189
FCRL5	ENSG00000143297	ENST00000361835
FCRL6	ENSG00000181036	ENST00000536257
FCRL6	ENSG00000181036	ENST00000339348
FCRL6	ENSG00000181036	ENST00000392235
FCRL6	ENSG00000181036	ENST00000368106
FCRLA	ENSG00000132185	ENST00000546024
FCRLA	ENSG00000132185	ENST00000367949
FCRLA	ENSG00000132185	ENST00000367959
FCRLA	ENSG00000132185	ENST00000309691
FCRLA	ENSG00000132185	ENST00000367953
FCRLA	ENSG00000132185	ENST00000367950
FCRLA	ENSG00000132185	ENST00000367957
FCRLA	ENSG00000132185	ENST00000349527
FCRLA	ENSG00000132185	ENST00000350710
FCRLA	ENSG00000132185	ENST00000236938
FCRLA	ENSG00000132185	ENST00000540521
FCRLA	ENSG00000132185	ENST00000674323
FCRLA	ENSG00000132185	ENST00000294796
FCRLA	ENSG00000132185	ENST00000674251
FCRLB	ENSG00000162746	ENST00000367948
FCRLB	ENSG00000162746	ENST00000367944
FCRLB	ENSG00000162746	ENST00000367945
FCRLB	ENSG00000162746	ENST00000367946
FCRLB	ENSG00000162746	ENST00000336830
FCSK	ENSG00000157353	ENST00000288078
FCSK	ENSG00000157353	ENST00000571514
FCSK	ENSG00000157353	ENST00000573352
FCSK	ENSG00000157353	ENST00000498702
FDCSP	ENSG00000181617	ENST00000317987
FDFT1	ENSG00000079459	ENST00000530337
FDFT1	ENSG00000079459	ENST00000530664
FDFT1	ENSG00000079459	ENST00000525607
FDFT1	ENSG00000079459	ENST00000528812
FDFT1	ENSG00000079459	ENST00000538689
FDFT1	ENSG00000079459	ENST00000529464
FDFT1	ENSG00000079459	ENST00000525954
FDFT1	ENSG00000079459	ENST00000525777
FDFT1	ENSG00000079459	ENST00000622850
FDFT1	ENSG00000079459	ENST00000532266
FDFT1	ENSG00000079459	ENST00000443614
FDFT1	ENSG00000079459	ENST00000618539
FDFT1	ENSG00000079459	ENST00000525900
FDFT1	ENSG00000079459	ENST00000528643
FDFT1	ENSG00000079459	ENST00000623368
FDFT1	ENSG00000079459	ENST00000525283
FDFT1	ENSG00000079459	ENST00000220584
FDPS	ENSG00000160752	ENST00000611010
FDPS	ENSG00000160752	ENST00000356657
FDPS	ENSG00000160752	ENST00000368356
FDPS	ENSG00000160752	ENST00000474345
FDPS	ENSG00000160752	ENST00000447866
FDPS	ENSG00000160752	ENST00000491013
FDX1	ENSG00000137714	ENST00000260270
FDX2	ENSG00000267673	ENST00000393708
FDX2	ENSG00000267673	ENST00000494368
FDX2	ENSG00000267673	ENST00000492239
FDXACB1	ENSG00000255561	ENST00000528274
FDXACB1	ENSG00000255561	ENST00000260257
FDXR	ENSG00000161513	ENST00000581219
FDXR	ENSG00000161513	ENST00000413947
FDXR	ENSG00000161513	ENST00000579482
FDXR	ENSG00000161513	ENST00000544854
FDXR	ENSG00000161513	ENST00000579893
FDXR	ENSG00000161513	ENST00000580492
FDXR	ENSG00000161513	ENST00000582710
FDXR	ENSG00000161513	ENST00000579543
FDXR	ENSG00000161513	ENST00000420580
FDXR	ENSG00000161513	ENST00000577509
FDXR	ENSG00000161513	ENST00000442102
FDXR	ENSG00000161513	ENST00000582944
FDXR	ENSG00000161513	ENST00000583881
FDXR	ENSG00000161513	ENST00000581530
FECH	ENSG00000066926	ENST00000585494
FECH	ENSG00000066926	ENST00000262093
FECH	ENSG00000066926	ENST00000592699
FECH	ENSG00000066926	ENST00000591977
FECH	ENSG00000066926	ENST00000382873
FEM1A	ENSG00000141965	ENST00000269856
FEM1B	ENSG00000169018	ENST00000566739
FEM1B	ENSG00000169018	ENST00000566008
FEM1C	ENSG00000145780	ENST00000274457
FEN1	ENSG00000168496	ENST00000535307
FEN1	ENSG00000168496	ENST00000535723
FER	ENSG00000151422	ENST00000618353
FER	ENSG00000151422	ENST00000281092
FER	ENSG00000151422	ENST00000504143
FER	ENSG00000151422	ENST00000438717
FER1L5	ENSG00000249715	ENST00000623019
FER1L5	ENSG00000249715	ENST00000624922
FER1L6	ENSG00000214814	ENST00000522917
FERD3L	ENSG00000146618	ENST00000275461
FERMT1	ENSG00000101311	ENST00000536936
FERMT1	ENSG00000101311	ENST00000699098
FERMT1	ENSG00000101311	ENST00000217289
FERMT1	ENSG00000101311	ENST00000699095
FERMT2	ENSG00000073712	ENST00000343279
FERMT2	ENSG00000073712	ENST00000557562
FERMT2	ENSG00000073712	ENST00000395631
FERMT2	ENSG00000073712	ENST00000553663
FERMT2	ENSG00000073712	ENST00000341590
FERMT2	ENSG00000073712	ENST00000554288
FERMT2	ENSG00000073712	ENST00000554712
FERMT2	ENSG00000073712	ENST00000554152
FERMT3	ENSG00000149781	ENST00000698872
FERMT3	ENSG00000149781	ENST00000698880
FERMT3	ENSG00000149781	ENST00000544997
FERMT3	ENSG00000149781	ENST00000698866
FERMT3	ENSG00000149781	ENST00000698865
FERMT3	ENSG00000149781	ENST00000698862
FERMT3	ENSG00000149781	ENST00000698863
FERMT3	ENSG00000149781	ENST00000698860
FERMT3	ENSG00000149781	ENST00000698861
FERMT3	ENSG00000149781	ENST00000698845
FERMT3	ENSG00000149781	ENST00000698847
FERMT3	ENSG00000149781	ENST00000698868
FERMT3	ENSG00000149781	ENST00000698869
FERMT3	ENSG00000149781	ENST00000545896
FERMT3	ENSG00000149781	ENST00000279227
FERMT3	ENSG00000149781	ENST00000541252
FERMT3	ENSG00000149781	ENST00000345728
FERMT3	ENSG00000149781	ENST00000698879
FERMT3	ENSG00000149781	ENST00000698878
FERMT3	ENSG00000149781	ENST00000698870
FERMT3	ENSG00000149781	ENST00000698873
FERMT3	ENSG00000149781	ENST00000698854
FERMT3	ENSG00000149781	ENST00000698853
FERMT3	ENSG00000149781	ENST00000698852
FERMT3	ENSG00000149781	ENST00000698874
FES	ENSG00000182511	ENST00000470152
FES	ENSG00000182511	ENST00000443697
FES	ENSG00000182511	ENST00000559355
FES	ENSG00000182511	ENST00000394300
FES	ENSG00000182511	ENST00000328850
FES	ENSG00000182511	ENST00000416779
FES	ENSG00000182511	ENST00000414248
FETUB	ENSG00000090512	ENST00000382134
FETUB	ENSG00000090512	ENST00000431018
FETUB	ENSG00000090512	ENST00000450521
FEV	ENSG00000163497	ENST00000295727
FEZ1	ENSG00000149557	ENST00000648911
FEZ1	ENSG00000149557	ENST00000524435
FEZ1	ENSG00000149557	ENST00000278919
FEZ1	ENSG00000149557	ENST00000366139
FEZ2	ENSG00000171055	ENST00000405912
FEZ2	ENSG00000171055	ENST00000441005
FEZ2	ENSG00000171055	ENST00000432869
FEZ2	ENSG00000171055	ENST00000451623
FEZ2	ENSG00000171055	ENST00000414288
FEZ2	ENSG00000171055	ENST00000379245
FEZ2	ENSG00000171055	ENST00000305852
FEZ2	ENSG00000171055	ENST00000357996
FEZF1	ENSG00000128610	ENST00000427185
FEZF1	ENSG00000128610	ENST00000442488
FEZF2	ENSG00000153266	ENST00000486811
FEZF2	ENSG00000153266	ENST00000283268
FEZF2	ENSG00000153266	ENST00000475839
FFAR1	ENSG00000126266	ENST00000246553
FFAR2	ENSG00000126262	ENST00000246549
FFAR2	ENSG00000126262	ENST00000599180
FFAR3	ENSG00000185897	ENST00000327809
FFAR3	ENSG00000185897	ENST00000594310
FFAR4	ENSG00000186188	ENST00000604414
FFAR4	ENSG00000186188	ENST00000371483
FFAR4	ENSG00000186188	ENST00000371481
FGA	ENSG00000171560	ENST00000403106
FGA	ENSG00000171560	ENST00000651975
FGB	ENSG00000171564	ENST00000509493
FGB	ENSG00000171564	ENST00000425838
FGB	ENSG00000171564	ENST00000302068
FGD1	ENSG00000102302	ENST00000375135
FGD2	ENSG00000146192	ENST00000274963
FGD2	ENSG00000146192	ENST00000373535
FGD3	ENSG00000127084	ENST00000375482
FGD3	ENSG00000127084	ENST00000468206
FGD3	ENSG00000127084	ENST00000416701
FGD3	ENSG00000127084	ENST00000467786
FGD3	ENSG00000127084	ENST00000337352
FGD4	ENSG00000139132	ENST00000583694
FGD4	ENSG00000139132	ENST00000472289
FGD4	ENSG00000139132	ENST00000546442
FGD4	ENSG00000139132	ENST00000525053
FGD4	ENSG00000139132	ENST00000493087
FGD4	ENSG00000139132	ENST00000494977
FGD4	ENSG00000139132	ENST00000682739
FGD4	ENSG00000139132	ENST00000683182
FGD4	ENSG00000139132	ENST00000534526
FGD4	ENSG00000139132	ENST00000551984
FGD4	ENSG00000139132	ENST00000395740
FGD4	ENSG00000139132	ENST00000531134
FGD4	ENSG00000139132	ENST00000427716
FGD5	ENSG00000154783	ENST00000285046
FGD5	ENSG00000154783	ENST00000543601
FGD6	ENSG00000180263	ENST00000546711
FGD6	ENSG00000180263	ENST00000343958
FGD6	ENSG00000180263	ENST00000451107
FGD6	ENSG00000180263	ENST00000551521
FGF1	ENSG00000113578	ENST00000359370
FGF1	ENSG00000113578	ENST00000619447
FGF1	ENSG00000113578	ENST00000394496
FGF1	ENSG00000113578	ENST00000378046
FGF1	ENSG00000113578	ENST00000612258
FGF1	ENSG00000113578	ENST00000419524
FGF1	ENSG00000113578	ENST00000407758
FGF1	ENSG00000113578	ENST00000337706
FGF1	ENSG00000113578	ENST00000411960
FGF1	ENSG00000113578	ENST00000621536
FGF1	ENSG00000113578	ENST00000360966
FGF10	ENSG00000070193	ENST00000513107
FGF11	ENSG00000161958	ENST00000575235
FGF11	ENSG00000161958	ENST00000572907
FGF11	ENSG00000161958	ENST00000575398
FGF11	ENSG00000161958	ENST00000575082
FGF11	ENSG00000161958	ENST00000293829
FGF12	ENSG00000114279	ENST00000448795
FGF12	ENSG00000114279	ENST00000418610
FGF12	ENSG00000114279	ENST00000454309
FGF12	ENSG00000114279	ENST00000683935
FGF12	ENSG00000114279	ENST00000684282
FGF12	ENSG00000114279	ENST00000445105
FGF12	ENSG00000114279	ENST00000430714
FGF12	ENSG00000114279	ENST00000683451
FGF13	ENSG00000129682	ENST00000421460
FGF13	ENSG00000129682	ENST00000436198
FGF13	ENSG00000129682	ENST00000305414
FGF13	ENSG00000129682	ENST00000448673
FGF13	ENSG00000129682	ENST00000315930
FGF14	ENSG00000102466	ENST00000376143
FGF14	ENSG00000102466	ENST00000376131
FGF16	ENSG00000196468	ENST00000439435
FGF17	ENSG00000158815	ENST00000359441
FGF17	ENSG00000158815	ENST00000518533
FGF18	ENSG00000156427	ENST00000274625
FGF19	ENSG00000162344	ENST00000294312
FGF2	ENSG00000138685	ENST00000264498
FGF2	ENSG00000138685	ENST00000608478
FGF2	ENSG00000138685	ENST00000644866
FGF20	ENSG00000078579	ENST00000180166
FGF20	ENSG00000078579	ENST00000519941
FGF21	ENSG00000105550	ENST00000222157
FGF21	ENSG00000105550	ENST00000593756
FGF22	ENSG00000070388	ENST00000586042
FGF22	ENSG00000070388	ENST00000215530
FGF23	ENSG00000118972	ENST00000237837
FGF3	ENSG00000186895	ENST00000334134
FGF4	ENSG00000075388	ENST00000168712
FGF5	ENSG00000138675	ENST00000507780
FGF5	ENSG00000138675	ENST00000456523
FGF5	ENSG00000138675	ENST00000312465
FGF6	ENSG00000111241	ENST00000228837
FGF6	ENSG00000111241	ENST00000543077
FGF7	ENSG00000140285	ENST00000560270
FGF7	ENSG00000140285	ENST00000560979
FGF8	ENSG00000107831	ENST00000346714
FGF8	ENSG00000107831	ENST00000618991
FGF8	ENSG00000107831	ENST00000320185
FGF8	ENSG00000107831	ENST00000344255
FGF8	ENSG00000107831	ENST00000469792
FGF8	ENSG00000107831	ENST00000347978
FGF9	ENSG00000102678	ENST00000382353
FGFBP1	ENSG00000137440	ENST00000382333
FGFBP2	ENSG00000137441	ENST00000259989
FGFBP3	ENSG00000174721	ENST00000311575
FGFR1	ENSG00000077782	ENST00000532791
FGFR1	ENSG00000077782	ENST00000397103
FGFR1	ENSG00000077782	ENST00000674189
FGFR1	ENSG00000077782	ENST00000683765
FGFR1	ENSG00000077782	ENST00000341462
FGFR1	ENSG00000077782	ENST00000326324
FGFR1	ENSG00000077782	ENST00000434187
FGFR1	ENSG00000077782	ENST00000484370
FGFR1	ENSG00000077782	ENST00000674380
FGFR1	ENSG00000077782	ENST00000356207
FGFR1	ENSG00000077782	ENST00000531196
FGFR1	ENSG00000077782	ENST00000649678
FGFR1	ENSG00000077782	ENST00000487647
FGFR1	ENSG00000077782	ENST00000397113
FGFR1	ENSG00000077782	ENST00000530568
FGFR1	ENSG00000077782	ENST00000425967
FGFR1	ENSG00000077782	ENST00000683815
FGFR1	ENSG00000077782	ENST00000440174
FGFR1	ENSG00000077782	ENST00000529552
FGFR1	ENSG00000077782	ENST00000533668
FGFR1	ENSG00000077782	ENST00000397091
FGFR1	ENSG00000077782	ENST00000447712
FGFR1OP2	ENSG00000111790	ENST00000229395
FGFR1OP2	ENSG00000111790	ENST00000546072
FGFR1OP2	ENSG00000111790	ENST00000544111
FGFR2	ENSG00000066468	ENST00000683211
FGFR2	ENSG00000066468	ENST00000636922
FGFR2	ENSG00000066468	ENST00000682550
FGFR2	ENSG00000066468	ENST00000346997
FGFR2	ENSG00000066468	ENST00000684153
FGFR2	ENSG00000066468	ENST00000336553
FGFR2	ENSG00000066468	ENST00000357555
FGFR2	ENSG00000066468	ENST00000683035
FGFR2	ENSG00000066468	ENST00000478859
FGFR2	ENSG00000066468	ENST00000356226
FGFR2	ENSG00000066468	ENST00000359354
FGFR2	ENSG00000066468	ENST00000369056
FGFR2	ENSG00000066468	ENST00000369058
FGFR2	ENSG00000066468	ENST00000369059
FGFR2	ENSG00000066468	ENST00000611527
FGFR2	ENSG00000066468	ENST00000360144
FGFR2	ENSG00000066468	ENST00000351936
FGFR2	ENSG00000066468	ENST00000457416
FGFR2	ENSG00000066468	ENST00000369061
FGFR2	ENSG00000066468	ENST00000604236
FGFR2	ENSG00000066468	ENST00000613048
FGFR2	ENSG00000066468	ENST00000682772
FGFR2	ENSG00000066468	ENST00000638709
FGFR3	ENSG00000068078	ENST00000340107
FGFR3	ENSG00000068078	ENST00000440486
FGFR3	ENSG00000068078	ENST00000481110
FGFR3	ENSG00000068078	ENST00000260795
FGFR3	ENSG00000068078	ENST00000352904
FGFR3	ENSG00000068078	ENST00000412135
FGFR4	ENSG00000160867	ENST00000393637
FGFR4	ENSG00000160867	ENST00000510911
FGFR4	ENSG00000160867	ENST00000393648
FGFR4	ENSG00000160867	ENST00000502906
FGFR4	ENSG00000160867	ENST00000292408
FGFRL1	ENSG00000127418	ENST00000504138
FGFRL1	ENSG00000127418	ENST00000264748
FGFRL1	ENSG00000127418	ENST00000398484
FGG	ENSG00000171557	ENST00000393846
FGG	ENSG00000171557	ENST00000407946
FGG	ENSG00000171557	ENST00000443553
FGG	ENSG00000171557	ENST00000336098
FGGY	ENSG00000172456	ENST00000424725
FGGY	ENSG00000172456	ENST00000634399
FGGY	ENSG00000172456	ENST00000582567
FGGY	ENSG00000172456	ENST00000634606
FGGY	ENSG00000172456	ENST00000635297
FGGY	ENSG00000172456	ENST00000635156
FGGY	ENSG00000172456	ENST00000430447
FGGY	ENSG00000172456	ENST00000413489
FGGY	ENSG00000172456	ENST00000303721
FGGY	ENSG00000172456	ENST00000371212
FGGY	ENSG00000172456	ENST00000371210
FGL1	ENSG00000104760	ENST00000381841
FGL1	ENSG00000104760	ENST00000522444
FGL1	ENSG00000104760	ENST00000427924
FGL1	ENSG00000104760	ENST00000398054
FGL1	ENSG00000104760	ENST00000381840
FGL1	ENSG00000104760	ENST00000398056
FGL1	ENSG00000104760	ENST00000518650
FGL2	ENSG00000127951	ENST00000248598
FGR	ENSG00000000938	ENST00000457296
FGR	ENSG00000000938	ENST00000399173
FGR	ENSG00000000938	ENST00000374003
FGR	ENSG00000000938	ENST00000374005
FH	ENSG00000091483	ENST00000366560
FH	ENSG00000091483	ENST00000683521
FH	ENSG00000091483	ENST00000684483
FH	ENSG00000091483	ENST00000682162
FHAD1	ENSG00000142621	ENST00000688493
FHAD1	ENSG00000142621	ENST00000481324
FHAD1	ENSG00000142621	ENST00000529606
FHAD1	ENSG00000142621	ENST00000683790
FHAD1	ENSG00000142621	ENST00000375995
FHAD1	ENSG00000142621	ENST00000375997
FHAD1	ENSG00000142621	ENST00000375998
FHAD1	ENSG00000142621	ENST00000524761
FHAD1	ENSG00000142621	ENST00000444385
FHAD1	ENSG00000142621	ENST00000433640
FHDC1	ENSG00000137460	ENST00000511601
FHIP1A	ENSG00000164142	ENST00000513962
FHIP1A	ENSG00000164142	ENST00000435205
FHIP1B	ENSG00000051009	ENST00000265978
FHIP1B	ENSG00000051009	ENST00000449352
FHIP1B	ENSG00000051009	ENST00000524416
FHIP2A	ENSG00000151553	ENST00000369248
FHIP2A	ENSG00000151553	ENST00000411414
FHIP2A	ENSG00000151553	ENST00000369250
FHIP2A	ENSG00000151553	ENST00000369246
FHIP2B	ENSG00000158863	ENST00000450006
FHIP2B	ENSG00000158863	ENST00000427751
FHIP2B	ENSG00000158863	ENST00000289921
FHIT	ENSG00000189283	ENST00000492590
FHIT	ENSG00000189283	ENST00000488467
FHIT	ENSG00000189283	ENST00000468189
FHL1	ENSG00000022267	ENST00000420362
FHL1	ENSG00000022267	ENST00000625935
FHL1	ENSG00000022267	ENST00000630278
FHL1	ENSG00000022267	ENST00000651256
FHL1	ENSG00000022267	ENST00000627812
FHL1	ENSG00000022267	ENST00000627383
