ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030135	coated vesicle	120/5228	302/17442	1.668409232879602e-4	0.005657424035128104	0.004326688058472461	HBEGF/GAD2/CCDC88A/ECE1/ABCB4/DENND1B/SFTPC/BTBD8/HLA-DQA1/B2M/HLA-G/SEC23IP/SFTPA2/HLA-DQA1/HLA-DRA/ROR2/HLA-C/CD74/CD3G/SFTPB/AREG/CPNE6/SEC24B/STEAP2/AP1S3/AP2M1/ERGIC3/HLA-DPA1/ASTN1/MALL/ATP6V0E2/ATP6V0D1/CLTCL1/ATP6AP1/DBNL/LMAN2L/TNK2/VPS41/TGFA/ATP6AP2/HAX1/GRIA1/AP1G1/AP1S2/NECAP2/VAMP7/ATP6V0B/SEC31B/HLA-F/CLRN1/CTLA4/AFTPH/VAMP2/STX5/GPR107/EGF/PDCD6/SEC31A/COPG1/DDHD2/SNAP91/ATP6V1H/ERGIC1/CLINT1/STX17/PACS1/CNIH2/PICALM/SCYL1/AP3B2/ERGIC2/SCYL2/COPZ1/RNASEK/AP1G2/ATP6V1D/NUMB/TMEM199/TMED10/VTI1B/RAB8B/LDLR/ATP6V0C/GGA2/TEPSIN/VPS33B/COPZ2/UNC13D/ATP6V0A1/AP1M1/DENND1C/AP1M2/RAB27B/USE1/SLC17A7/AP2A1/GAD1/DVL1/SCARB2/NECAP1/GOSR2/ATP7A/OCRL/AP1S1/COPA/CFTR/LMBRD1/CD59/MYO6/PCSK9/HSPD1/SNX9/CTSZ/FURIN/SGIP1/AP3B1/HLA-B/HLA-DRB1/TFRC/DENND1A	120
GO:0016607	nuclear speck	156/5228	409/17442	2.12835402308966e-4	0.006903270005325593	0.005279486867343689	NME8/CACTIN/LUC7L3/THOC2/CHD5/TCF12/MBD1/UBASH3A/DENND1B/CCNL1/ZNF217/PPIH/MAPK14/YLPM1/EP400/MAPT/SNURF/DYRK1A/PRPF40A/MOCS2/COP1/PYHIN1/HIPK1/RBM15/SURF2/PPIE/DDX39B/PLCB1/BMP2K/PSME4/RBM19/RUFY1/NSRP1/RBM39/PIAS2/TFIP11/POLI/SUMO1/SF3B1/FYTTD1/TRIM22/PPIG/CCNL2/SRSF7/GCAT/SART3/CBLL1/MECOM/SEC14L3/HSF4/GLI3/ARL6IP4/RBM14/POLDIP3/EIF4ENIF1/GTF2H2C/SF3A1/PLA2G6/CBX4/OGG1/USP36/PIP5K1A/LUC7L2/TERT/SFPQ/ATPAF2/HBP1/U2AF1/DZIP1/RTEL1/ACIN1/SRSF11/HNRNPU/TUT1/SRSF3/TARDBP/RSRC1/PRPF4B/KMT2E/SRSF10/PLRG1/MEF2C/RCHY1/SPOP/MTREX/DDX46/COPS4/THOC3/ERBIN/LMNA/GTF2H2/STK19/BNIP3L/SREK1/CSNK1A1/RBM4B/DGKZ/PRCC/HIF3A/RBM25/WT1/CTR9/RBM4/FIBP/API5/METTL3/FAM76B/PARN/MAPK9/BAZ2A/SARNP/E2F7/PNN/HECTD1/PABPN1/EAPP/NRDE2/SRP54/PIAS1/CLK3/SCAPER/PALB2/ZC3H18/RNPS1/KIF22/PRPF8/SRRM2/DDX42/THOC1/DDX5/SRSF1/U2AF2/ATP6V0A1/U2AF1L4/ELL/SNRNP70/ITPKC/SRRM1/SCNM1/CDC34/AKAP8L/CWC25/CACNB4/FTO/AP5Z1/RMI2/DYRK3/ZC3H14/PQBP1/SRSF6/UNC45A/NONO/NPM1/PNISR/SFMBT2/RBM8A	156
GO:0031674	I band	63/5228	143/17442	2.4200967465792955e-4	0.007398023527876155	0.0056578647553391795	PALLD/ANK3/ANK1/PPP1R12B/SCN3B/MYO18B/JPH1/SMN1/DST/GLRX3/JPH2/MYPN/SMN1/FKBP1A/ACTN4/SRI/CTNNB1/SLC8A1/XIRP2/CAB39/FLNA/PPP3CB/DNAJB6/FLNB/CACNA1C/PRICKLE4/SORBS2/PRKD1/PDE4B/KCNN2/PDLIM3/PDLIM5/ACTN3/MYOZ3/CSRP1/LDB3/PPP1R12A/CSRP2/SCN8A/SYNE2/PSEN1/CFL2/CAPN3/ALDOA/RTN2/STK11/HRC/RYR1/RYR2/RYR3/CACNA1D/SCN1A/CSRP3/MYL3/OBSCN/ANK2/HSPB1/NEBL/PSEN2/DMD/CACNA1S/ACTN1/MTM1	63
GO:0031256	leading edge membrane	76/5228	179/17442	2.4792304047842345e-4	0.007398023527876155	0.0056578647553391795	ARHGAP44/CD44/TPM1/ANK1/PLA2G4F/KCNC2/AKT2/STX4/AKAP5/MAPT/ATP2B2/PLEKHA1/AIF1L/FGD2/KCNC3/NF2/PSD4/DPP4/PIEZO1/RASGRP2/FAP/TRPV1/SGCE/SH3YL1/ITGA5/SLC39A6/ERBB2/INPP5K/ATP6AP2/GRIA1/AMPH/RHOA/PIP5K1A/TIAM1/DOCK8/TESC/EPS8L3/ROBO2/GABBR1/GABRA4/PLXND1/PDPN/CLRN2/GABRA2/SNTG1/PSD3/RPS3/EPS8L2/ABCA7/MTMR9/PTPRK/FERMT1/TRPV4/SLC12A5/DAGLA/EPS8/APPL2/VEZT/SYNE2/PLEK2/PLCG2/ITGB3/THY1/VASP/PDE4A/ADGRE2/PLCG1/CHRNA7/KCNB1/GABRG2/ADGRV1/SLC1A2/MYO6/PIP5K1C/ARHGEF2/ITGAV	76
GO:0030027	lamellipodium	82/5228	196/17442	2.5832593696161095e-4	0.007411967268206222	0.005668528657214298	ABI2/PALLD/CCDC88A/CD44/PTPRO/STX4/STX3/STX2/KITLG/RAB3IP/CDC42BPA/PLCE1/FGD2/PLEKHG5/SNX1/ITSN1/GSN/FGD4/CTNNB1/NF2/DPP4/ARPC2/SH3BP1/PIEZO1/CDH1/FAP/ACTB/DBNL/ALS2/ABLIM1/SLC39A6/HAX1/FGD6/RHOA/PIP5K1A/VAMP7/MYLK/CLRN1/DOCK8/TESC/SORBS2/PLEKHH2/RAPGEF3/PKD2/RUFY3/PLXND1/PDPN/FAT1/APBB2/SNX2/ABLIM3/PABPC1/DPYSL3/RNH1/DGKZ/SWAP70/RDX/MEFV/CORO1B/TRPV4/DDX3X/PXN/AVIL/SYNE2/TUBB3/EVL/PLEK2/PSTPIP1/ITGB3/BAIAP2/VASP/FLOT2/MYO9B/CARMIL2/DUSP22/PLCG1/TSC1/CAPZB/P4HB/CTNND1/MYH10/ITGAV	82
GO:1904949	ATPase complex	61/5228	138/17442	2.6982219020808265e-4	0.007455087181304802	0.005701505929543112	MBD2/CHD5/SMARCE1/ATP6V0E1/ATP6V1G3/ARID1B/EP400/BAZ1B/ATP5F1C/UCHL5/MYBBP1A/SMARCA2/TFPT/ATP5MF/ATP5PF/SF3B1/ATP5PO/MTA1/ATP6V0E2/ACTB/ATP6V0D1/ING3/BRD8/ATP6AP1/MTA3/PTPA/ATP6AP2/ARID2/ATP6V0B/SMARCD3/ATP5PB/BRD9/RBBP4/ATP5MC1/ATP6V1H/MTA2/TCIRG1/CDK2AP2/DPF2/ANP32E/ATP5PD/SS18/BAZ2A/SMARCC2/RNASEK/ATP6V1D/BAZ1A/TMEM199/INO80/INO80E/ATP6V0C/SMARCD2/INO80C/ATP6V0A1/ATP5F1A/ATP5F1D/VPS4B/RUVBL2/CHD4/SMARCA4/VCP	61
GO:0015935	small ribosomal subunit	36/5228	72/17442	2.8145418671595774e-4	0.007498743688932302	0.0057348935789492145	RPS20/RPS19/RPS13/RPS12/RPS15/RPS3A/RPS2/RPS10/MRPS5/MRPL42/RPS24/RACK1/RPS6/RPS27A/RPS7/PTCD3/RPS18/EIF2A/MRPS2/MRPS22/MRPS18C/RPS23/MRPS28/MRPS27/FAU/RPS3/RPS25/RPS15A/MRPS7/UBA52/RPS5/RPS16/RPS28/NPM1/MRPS25/RPSA	36
GO:0030119	AP-type membrane coat adaptor complex	22/5228	38/17442	3.160170290429375e-4	0.008129265643656255	0.006217104527813872	AP4S1/BTBD8/AP4M1/AP1S3/AP2M1/AP3S2/AP5M1/AP1G1/AP1S2/AFTPH/AP3S1/AP3B2/AP1G2/AP4E1/AP3D1/AP1M1/AP1M2/AP2A1/AP1S1/AP5Z1/SGIP1/AP3B1	22
GO:0070382	exocytic vesicle	91/5228	223/17442	3.43986351423667e-4	0.008347609294899406	0.006384089512961025	GAD2/OTOF/NKD2/BSN/STX19/ZNRF1/STX3/BTBD8/STX2/SEPTIN6/SLC6A9/RAB3IP/NCSTN/PPT1/SYT15/SYP/SEPTIN2/IGF1/SNCAIP/SYNGR1/MFF/ATP6V0E2/ATP6V0D1/BACE1/ATP6AP1/DNM1L/SEPTIN5/PPFIA2/ATP6AP2/GRIA1/AMPH/ICA1/MCTP2/STX16/VPS45/MYOF/SYPL1/SYNPR/CLCN5/VAMP2/PDE4B/GABBR1/RAB7A/ATP8A1/SNCA/SLC9B2/DTNBP1/COPS4/GABRA2/COPS5/SNAP91/ATP6V1H/MAL2/DPYSL3/ABCC8/TRAPPC4/PICALM/DISC1/RAB6A/SYT10/PSEN1/ATP6V1D/VTI1B/RAB8B/DMXL2/CLN3/SYT17/RAB26/DOC2A/ATP6V0C/SEPTIN4/NDEL1/BRSK1/SYT5/UNC13D/ROGDI/ATP6V0A1/SYNGR2/RAB27B/SLC17A7/TMEM230/SYTL1/DLG4/CBARP/SLC18B1/TOR1A/CLCN4/PSEN2/LRRK2/NGF/KIF1B	91
GO:0030136	clathrin-coated vesicle	85/5228	206/17442	3.46884568554801e-4	0.008347609294899406	0.006384089512961025	HBEGF/GAD2/ECE1/ABCB4/DENND1B/SFTPC/BTBD8/HLA-DQA1/SFTPA2/HLA-DQA1/HLA-DRA/ROR2/CD74/CD3G/SFTPB/AREG/CPNE6/STEAP2/AP1S3/AP2M1/HLA-DPA1/ASTN1/MALL/ATP6V0E2/ATP6V0D1/CLTCL1/ATP6AP1/DBNL/TNK2/VPS41/TGFA/ATP6AP2/HAX1/AP1G1/AP1S2/NECAP2/VAMP7/ATP6V0B/CLRN1/CTLA4/AFTPH/VAMP2/GPR107/EGF/SNAP91/ATP6V1H/CLINT1/PICALM/AP3B2/SCYL2/RNASEK/AP1G2/ATP6V1D/NUMB/TMED10/RAB8B/LDLR/ATP6V0C/GGA2/VPS33B/UNC13D/ATP6V0A1/AP1M1/DENND1C/AP1M2/RAB27B/SLC17A7/AP2A1/GAD1/DVL1/SCARB2/NECAP1/ATP7A/OCRL/AP1S1/CFTR/LMBRD1/MYO6/SNX9/FURIN/SGIP1/AP3B1/HLA-DRB1/TFRC/DENND1A	85
GO:0043292	contractile fiber	97/5228	241/17442	3.9810947017690816e-4	0.009280927023499171	0.007097872790654087	SCO2/IDO1/ABCC9/PALLD/ANK3/TPM1/ANK1/PPP1R12B/SCN3B/MYO18B/MYL1/JPH1/LRRC27/SMN1/MYBPHL/DST/MYBPC1/SYNE1/GLRX3/JPH2/MYPN/SMPX/SMN1/FKBP1A/ACTN4/MYL4/SRI/CTNNB1/MYBPC3/MYL5/SLC8A1/XIRP2/CALM2/CAB39/FLNA/CALD1/PPP3CB/DNAJB6/FLNB/FXR1/CACNA1C/PRICKLE4/SORBS2/PRKD1/PDE4B/KCNN2/PDLIM3/PDLIM5/TPM3/ACTN3/NPNT/DCTN4/MYOZ3/CSRP1/LDB3/PYROXD1/PPP1R12A/CSRP2/SCN8A/SYNE2/PSMA6/PSEN1/CFL2/TMOD3/CAPN3/ALDOA/MYH11/MYOM1/TNNT1/TPM4/RTN2/STK11/CALM3/HRC/RYR1/RYR2/PDE4DIP/VCL/RYR3/CACNA1D/SCN1A/ENO1/CSRP3/MYL3/TNNT2/CALM1/OBSCN/ANK2/CAPZB/HSPB1/NEBL/PSEN2/DMD/CACNA1S/ACTN1/MTM1/MYL6B	97
GO:0044304	main axon	32/5228	63/17442	4.20543108044429e-4	0.009506822987913456	0.007270633638280081	ANK3/ANK1/KCNC2/MAPT/SIRT2/C9orf72/ERMN/DLG1/TIAM1/MBP/CD40/KCNAB2/ROBO2/KCNAB1/GABBR1/NFASC/DLG2/DAGLA/SCN8A/THY1/CNTNAP1/TUBB4A/SPTBN4/KCNQ2/LGI1/CHRNA7/KCNQ3/KCNA1/CNTN2/SCN1A/SLC1A2/DLG4	32
GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain	15/5228	23/17442	5.007114274753198e-4	0.010986197791076135	0.008402030764446546	ATP6V0E1/ATP5MF/ATP5PF/ATP5PO/ATP6V0E2/ATP6V0D1/ATP6AP2/ATP6V0B/ATP5PB/ATP5MC1/TCIRG1/ATP5PD/RNASEK/ATP6V0C/ATP6V0A1	15
GO:0055029	nuclear DNA-directed RNA polymerase complex	44/5228	95/17442	5.548745354426452e-4	0.011826754384006094	0.009044872126613947	POLR2I/TAF6L/GTF2A1/CRCP/TBPL1/SUPT3H/TAF8/GTF2A2/POLR2F/PAF1/MCM3/TAF6/ERCC3/POLR3H/MMS19/POLR1E/GTF2H2C/TAF1/KAT2A/POLR3C/CDK7/TCEA1/GTF2H2/ENY2/POLR2G/GTF2H1/POLA2/CTR9/GTF2H3/PRIM1/MNAT1/SKIC8/RTF1/POLR2C/POLR3E/POLR2E/POLR1C/POLR1D/CDC73/TAF11/POLA1/TAF2/POLR3F/POLR3A	44
GO:0033179	proton-transporting V-type ATPase, V0 domain	9/5228	11/17442	5.712471041038115e-4	0.011837509435040094	0.009053097380826488	ATP6V0E1/ATP6V0E2/ATP6V0D1/ATP6AP2/ATP6V0B/TCIRG1/RNASEK/ATP6V0C/ATP6V0A1	9
GO:0005769	early endosome	155/5228	414/17442	5.921278257266619e-4	0.011938577243029453	0.009130392078061189	AKT2/MAPK3/CD8B/HFE/B2M/RAP1A/KIR2DL4/PML/HLA-G/RAB4A/NCSTN/ACKR1/CD1E/NOX1/FGD2/RAP1GAP/NRP1/HLA-DRA/HLA-C/SLC15A4/SNX1/PXK/CCDC154/CACNG7/RUFY1/CAV1/AP4M1/TOM1/PMEPA1/NF2/STEAP2/SNX13/AP1S3/STAMBP/EPHA4/RAB29/ATP11A/SNX30/PPP1R21/ABCB6/TRAK1/EEA1/VPS8/AP3S2/ATP6V0D1/SNX17/COMMD1/BACE1/DBNL/WASHC2A/ATP13A4/CCDC93/VPS41/ALS2/RBSN/TM9SF4/ERBB2/GRIA1/AP1G1/ATP11C/AP1S2/PLEKHA3/CYTIP/HLA-F/EPS15/ATP11B/RUSC1/PTP4A2/SNX4/WDR81/CLCN5/RABGEF1/PLD3/VPS26A/GPR107/WASHC3/MIB2/TLR3/F2R/NSG1/AP3S1/ZFYVE16/DNAJC13/APBB2/SNX2/RASGEF1B/SLC9A3/NSG2/SNX19/PICALM/ABCA7/NEU3/AP3B2/LRP6/DAGLA/MON2/APPL2/SLC11A2/BLOC1S1/PSEN1/NUMB/ZFYVE26/SNX6/VTI1B/ANXA2/LDLR/NIPA1/CLN6/CLN3/GGA2/TBC1D16/DERL2/HGS/LITAF/VPS33B/ANKFY1/GGA3/RAB31/MTMR4/TSG101/AOC3/AP3D1/AP1M1/EHD2/CD22/PTPN23/TMEM230/USP8/RET/SNX27/ATP7A/OCRL/AP1S1/CFTR/ITCH/ANK2/PCSK9/FIG4/CLCN4/ZMPSTE24/CHMP1A/HSPD1/PSEN2/MMGT1/IFITM3/VPS13B/WDR91/MAP2K1/FKBP15/MYO5A/AP3B1/PLA2G4E/HLA-B/HAVCR2/TFRC	155
GO:0000428	DNA-directed RNA polymerase complex	45/5228	98/17442	6.087422860992364e-4	0.011950572248158695	0.00913956562509103	POLR2I/TAF6L/GTF2A1/CRCP/TBPL1/SUPT3H/TAF8/GTF2A2/POLR2F/PAF1/MCM3/TAF6/ERCC3/POLR3H/MMS19/POLR1E/GTF2H2C/TAF1/KAT2A/POLR3C/CDK7/PRIMPOL/TCEA1/GTF2H2/ENY2/POLR2G/GTF2H1/POLA2/CTR9/GTF2H3/PRIM1/MNAT1/SKIC8/RTF1/POLR2C/POLR3E/POLR2E/POLR1C/POLR1D/CDC73/TAF11/POLA1/TAF2/POLR3F/POLR3A	45
GO:0035253	ciliary rootlet	11/5228	15/17442	6.631298993529605e-4	0.012383278308600238	0.009470490818768633	KIF5A/KIF5B/RAB28/NEK4/PJVK/PSEN1/RPGRIP1/RPGRIP1L/SPAG5/KIF5C/PSEN2	11
GO:0030880	RNA polymerase complex	46/5228	101/17442	6.639827511313801e-4	0.012383278308600238	0.009470490818768633	POLR2I/TAF6L/GTF2A1/CRCP/TBPL1/SUPT3H/TAF8/GTF2A2/POLR2F/PAF1/MCM3/TAF6/ERCC3/POLR3H/MMS19/POLR1E/GTF2H2C/TERT/TAF1/KAT2A/POLR3C/CDK7/PRIMPOL/TCEA1/GTF2H2/ENY2/POLR2G/GTF2H1/POLA2/CTR9/GTF2H3/PRIM1/MNAT1/SKIC8/RTF1/POLR2C/POLR3E/POLR2E/POLR1C/POLR1D/CDC73/TAF11/POLA1/TAF2/POLR3F/POLR3A	46
GO:0010494	cytoplasmic stress granule	41/5228	88/17442	7.270252327166102e-4	0.012995208061357403	0.009938482812552156	PABPC1L/MBNL1/OGFOD1/CELF1/PABPC4/C9orf72/GRB7/EIF3B/RC3H2/IGF2BP2/GIGYF2/LSM14A/YBX1/MCRIP1/TIA1/FMR1/FXR1/TARDBP/PUM1/ENDOV/ZFAND1/PABPC1/STAU2/LARP1/RBPMS/RBM4/DDX3X/EIF2S1/DDX19A/DDX19B/TRIM25/CIRBP/ELAVL1/DYRK3/PQBP1/EIF4G1/G3BP2/G3BP1/DDX1/VCP/LARP4B	41
GO:0030017	sarcomere	86/5228	213/17442	7.316336978244114e-4	0.012995208061357403	0.009938482812552156	ABCC9/PALLD/ANK3/TPM1/ANK1/PPP1R12B/SCN3B/MYO18B/MYL1/JPH1/LRRC27/SMN1/MYBPHL/DST/SYNE1/GLRX3/JPH2/MYPN/SMPX/SMN1/FKBP1A/ACTN4/MYL4/SRI/CTNNB1/MYBPC3/SLC8A1/XIRP2/CALM2/CAB39/FLNA/PPP3CB/DNAJB6/FLNB/CACNA1C/PRICKLE4/SORBS2/PRKD1/PDE4B/KCNN2/PDLIM3/PDLIM5/TPM3/ACTN3/DCTN4/MYOZ3/CSRP1/LDB3/PYROXD1/PPP1R12A/CSRP2/SCN8A/SYNE2/PSMA6/PSEN1/CFL2/TMOD3/CAPN3/ALDOA/MYOM1/TNNT1/TPM4/RTN2/STK11/CALM3/HRC/RYR1/RYR2/RYR3/CACNA1D/SCN1A/ENO1/CSRP3/MYL3/TNNT2/CALM1/OBSCN/ANK2/CAPZB/HSPB1/NEBL/PSEN2/DMD/CACNA1S/ACTN1/MTM1	86
GO:0034399	nuclear periphery	61/5228	143/17442	8.343001534409177e-4	0.014474137545742432	0.011069539367563708	SMARCE1/MBD1/SORBS1/ENC1/MAPT/GHRHR/PRPF40A/HNRNPA2B1/PML/HLTF/MEN1/PPIG/ACTB/EIF6/OGG1/TP53/ARID2/PAXIP1/LMNB1/SFPQ/DNMT3A/NUP205/MYB/TEP1/HNRNPU/STAG1/TELO2/AHCTF1/ANAPC4/MAEA/LMNA/RUNX1T1/NUP107/PHB2/MORC3/SMARCC2/PSMA6/CFL2/ATXN3/ANXA2/PIAS1/TGFB1I1/NUP93/NARF/THOC1/SMARCD2/RUVBL2/SPTBN4/SRRM1/HNRNPM/AKAP8L/SMARCA4/CASK/ERCC8/BLM/POLA1/SMC1A/CHMP1A/NONO/AKAP8/DCAF7	61
GO:0005802	trans-Golgi network	100/5228	255/17442	9.396022954949823e-4	0.015930529828164928	0.012183359908092835	AP4S1/YIPF2/CHST7/COG8/STX4/HLA-DQA1/SLC66A2/ARFIP1/GOLGA4/CNST/HLA-DQA1/HLA-DRA/CD74/VPS53/AP4M1/AP1S3/SMPD4/RAB29/HLA-DPA1/FLNA/CDH1/PCSK5/CLTCL1/BACE1/GSAP/CHAC1/INPP5K/SLC24A5/SLC30A6/AP1G1/AP1S2/PLEKHA3/EIPR1/VAMP7/STX16/SCAMP4/TBC1D23/RAB43/AFTPH/VAMP2/PRKD1/SCOC/RHOBTB3/ATP8A1/NSG1/TGFBI/SLC10A7/NSG2/FAM91A1/BPNT2/ASAP1/DENND5A/MS4A6A/CHID1/MYO18A/ATP8B3/MS4A6E/CCDC91/COG6/RAB6A/BICD1/ARL1/TRAPPC6B/ATP8B4/AP4E1/RAB11A/CLN3/SYT17/GGA2/CORO7/TEPSIN/GGA3/RAB31/COG1/HOOK2/BECN1/CA4/STX10/TRAPPC6A/ATP9B/AP1M1/PCSK4/ATP8B1/AP1M2/GPR108/ATG9B/TMEM230/ATP7A/OCRL/AP1S1/PLEKHA8/ATP7B/GBF1/SNX9/LRRK2/ARFGEF2/FURIN/NBEA/HLA-DRB1/COG4	100
GO:0030016	myofibril	92/5228	233/17442	0.0011416076604264047	0.018893260775793768	0.01444919901295361	SCO2/ABCC9/PALLD/ANK3/TPM1/ANK1/PPP1R12B/SCN3B/MYO18B/MYL1/JPH1/LRRC27/SMN1/MYBPHL/DST/MYBPC1/SYNE1/GLRX3/JPH2/MYPN/SMPX/SMN1/FKBP1A/ACTN4/MYL4/SRI/CTNNB1/MYBPC3/SLC8A1/XIRP2/CALM2/CAB39/FLNA/CALD1/PPP3CB/DNAJB6/FLNB/FXR1/CACNA1C/PRICKLE4/SORBS2/PRKD1/PDE4B/KCNN2/PDLIM3/PDLIM5/TPM3/ACTN3/DCTN4/MYOZ3/CSRP1/LDB3/PYROXD1/PPP1R12A/CSRP2/SCN8A/SYNE2/PSMA6/PSEN1/CFL2/TMOD3/CAPN3/ALDOA/MYOM1/TNNT1/TPM4/RTN2/STK11/CALM3/HRC/RYR1/RYR2/PDE4DIP/VCL/RYR3/CACNA1D/SCN1A/ENO1/CSRP3/MYL3/TNNT2/CALM1/OBSCN/ANK2/CAPZB/HSPB1/NEBL/PSEN2/DMD/CACNA1S/ACTN1/MTM1	92
GO:0042470	melanosome	47/5228	106/17442	0.001190326081048669	0.018893260775793768	0.01444919901295361	SLC45A2/STX3/NCSTN/RAN/NAP1L1/SYNGR1/PDCD6IP/RAB29/ABCB6/HPS4/SDCBP/ANXA11/SLC24A5/PDIA3/SYPL1/ATP1B3/RAB7A/CALU/YWHAE/TMEM33/DTNBP1/GANAB/CTSB/RAB2A/CD63/TMED10/ANXA2/SGSM2/ITGB3/MYH11/TRPV2/MFSD12/ATP6V0A1/RAB27B/BSG/SYTL1/TPCN2/FASN/ATP7A/TPP1/GGH/P4HB/PPIB/HSP90B1/CANX/MYO5A/TFRC	47
GO:0048770	pigment granule	47/5228	106/17442	0.001190326081048669	0.018893260775793768	0.01444919901295361	SLC45A2/STX3/NCSTN/RAN/NAP1L1/SYNGR1/PDCD6IP/RAB29/ABCB6/HPS4/SDCBP/ANXA11/SLC24A5/PDIA3/SYPL1/ATP1B3/RAB7A/CALU/YWHAE/TMEM33/DTNBP1/GANAB/CTSB/RAB2A/CD63/TMED10/ANXA2/SGSM2/ITGB3/MYH11/TRPV2/MFSD12/ATP6V0A1/RAB27B/BSG/SYTL1/TPCN2/FASN/ATP7A/TPP1/GGH/P4HB/PPIB/HSP90B1/CANX/MYO5A/TFRC	47
GO:0030117	membrane coat	42/5228	93/17442	0.0013678622570581635	0.020825004974803878	0.015926559469936083	AP4S1/DNM1/BTBD8/AP4M1/SEC24B/AP1S3/AP2M1/SYNJ1/AP3S2/CLTCL1/AP5M1/KCNQ5/AP1G1/AP1S2/NECAP2/SEC31B/EPS15/AFTPH/PDCD6/SEC31A/AP3S1/COPG1/CLINT1/PICALM/SCYL1/AP3B2/COPZ1/AP1G2/AP4E1/COPZ2/AP3D1/AP1M1/EPS15L1/AP1M2/AP2A1/NECAP1/AP1S1/COPA/AP5Z1/BAIAP2L2/SGIP1/AP3B1	42
GO:0048475	coated membrane	42/5228	93/17442	0.0013678622570581635	0.020825004974803878	0.015926559469936083	AP4S1/DNM1/BTBD8/AP4M1/SEC24B/AP1S3/AP2M1/SYNJ1/AP3S2/CLTCL1/AP5M1/KCNQ5/AP1G1/AP1S2/NECAP2/SEC31B/EPS15/AFTPH/PDCD6/SEC31A/AP3S1/COPG1/CLINT1/PICALM/SCYL1/AP3B2/COPZ1/AP1G2/AP4E1/COPZ2/AP3D1/AP1M1/EPS15L1/AP1M2/AP2A1/NECAP1/AP1S1/COPA/AP5Z1/BAIAP2L2/SGIP1/AP3B1	42
GO:0005840	ribosome	88/5228	223/17442	0.001471162699965494	0.021066940115540018	0.016111586768199085	RPS20/RPL18/RPS19/RPS13/RPS12/RPS15/RPL27/PNPT1/RPL8/RPL21/RPS3A/RPLP2/RPL10A/MRPL11/RPS2/RPS10/MRPS5/RPL35/RPL15/RPLP1/MRPL42/MRPL19/RPS24/RPL12/MRPL43/RPL11/RACK1/RPS6/MRPL23/LTN1/MRPL47/RPL24/RPL23/RPL36/RPL34/RPL32/RPS27A/RPS7/PTCD3/RPL31/SF1/MTERF4/RPL35A/RPS18/RPL37A/EIF2A/MRPS2/RPL13A/RPL36A/RPL29/MRPL9/MRPS22/RRBP1/MRPL27/ABCE1/MRPS18C/RPS23/MRPL22/MRPS28/LARP1/MRPS27/RPL27A/FAU/RPS3/RPS25/MRPL49/MRPL21/RNF10/MRPL52/RPL28/RPS15A/RPL13/RPL17/MRPS7/RPL26/RPL38/MRPL4/UBA52/RPS5/RPS16/RPS28/EIF2AK2/FUBP3/RPL19/NPM1/LARP4B/MRPS25/RPSA	88
GO:0005681	spliceosomal complex	79/5228	197/17442	0.0014737353145233586	0.021066940115540018	0.016111586768199085	CACTIN/LSM5/LUC7L3/CLNS1A/PPIH/ZRSR2/RBM44/PRPF40A/HNRNPA2B1/PPIE/DDX39B/RBM3/HNRNPA3/LUC7L/TFIP11/USP39/SF3B1/GEMIN2/SNRNP35/SF1/PPIL3/PPIL2/RBMY1D/RNPC3/WDR83/TTF2/GCFC2/RBMX/CWF19L2/YBX1/RBM5/SYNCRIP/SF3A1/LUC7L2/U2AF1/HNRNPU/RHEB/PRPF4B/PTBP2/CWF19L1/ISY1/RBM28/PLRG1/MTREX/DDX46/DDX41/PPWD1/HNRNPH1/PABPC1/SREK1/API5/SUGP1/MAGOHB/DDX23/PNN/DNAJC17/TXNL4B/DHX38/PRPF8/SRRM2/SNRPD1/DDX5/SRSF1/ARMC7/U2AF2/CIRBP/U2AF1L4/DHX8/SNRNP70/LSM4/SRRM1/HNRNPM/SCNM1/CWC25/SNRNP48/NCL/HNRNPA1/CWC27/RBM8A	79
GO:0005905	clathrin-coated pit	34/5228	72/17442	0.0014967129036509664	0.021066940115540018	0.016111586768199085	BTBD8/SELE/ITSN1/ARRB2/AP1S3/AP2M1/SYNJ1/CLTCL1/REPS1/FCHSD2/DNM1L/TNK2/AP1G1/AP1S2/NECAP2/EPS15/SNAP91/ARRB1/PICALM/NUMB/LDLR/CCDC32/DNM2/EPS15L1/AP2A1/NECAP1/OCRL/AP1S1/MYO6/HSPD1/SNX9/SGIP1/TFRC/FCHO1	34
GO:0032153	cell division site	34/5228	72/17442	0.0014967129036509664	0.021066940115540018	0.016111586768199085	TUBGCP6/DCTN3/SEPTIN6/SEPTIN2/MEN1/NF2/MYH9/STAMBP/ECT2/SEPTIN5/ANLN/RHOA/MYLK/RHOC/SEPTIN11/MAEA/HTR3A/PLK4/RDX/PLEKHG6/TUBGCP2/RACGAP1/LIMA1/PSTPIP1/TUBGCP4/RAB11A/SPIRE2/ZFYVE19/NDE1/SEPTIN4/SEPTIN12/SEPTIN9/FSD1/MYH10	34
